Occupation Name,Task Description,Importance
Actors,"Sing or dance during dramatic or comedic performances.
Related occupations",84
Actors,"Work with other crew members responsible for lighting, costumes, make-up, and props.
Related occupations",76
Actors,"Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences.
Related occupations",76
Actors,"Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props.
Related occupations",72
Actors,"Promote productions using means such as interviews about plays or movies.
Related occupations",71
Actors,"Prepare and perform action stunts for motion picture, television, or stage productions.
Related occupations",61
Actors,"Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.
Related occupations",60
Actors,"Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.
Related occupations",52
Actors,"Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences.
Related occupations",46
Actors,"Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines.
Related occupations",46
Actors,"Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants.
Related occupations",42
Actuaries,"Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.
Related occupations",89
Actuaries,"Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business.
Related occupations",87
Actuaries,"Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.
Related occupations",86
Actuaries,"Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.
Related occupations",85
Actuaries,"Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.
Related occupations",82
Actuaries,"Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.
Related occupations",79
Actuaries,"Provide advice to clients on a contract basis, working as a consultant.
Related occupations",70
Actuaries,"Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.
Related occupations",57
Actuaries,"Negotiate terms and conditions of reinsurance with other companies.
Related occupations",57
Actuaries,"Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.
Related occupations",53
Actuaries,"Testify before public agencies on proposed legislation affecting businesses.
Related occupations",51
Actuaries,"Determine policy contract provisions for each type of insurance.
Related occupations",50
Actuaries,"Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.
Related occupations",42
Actuaries,"Explain changes in contract provisions to customers.
Related occupations",36
Actuaries,"Manage credit and help price corporate security offerings.
Related occupations",34
Acupuncturists,"Develop individual treatment plans and strategies.
Related occupations",95
Acupuncturists,"Adhere to local, state, and federal laws, regulations, and statutes.
Related occupations",95
Acupuncturists,"Insert needles to provide acupuncture treatment.
Related occupations",94
Acupuncturists,"Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.
Related occupations",94
Acupuncturists,"Collect medical histories and general health and lifestyle information from patients.
Related occupations",93
Acupuncturists,"Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements.
Related occupations",92
Acupuncturists,"Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.
Related occupations",91
Acupuncturists,"Maintain and follow standard quality, safety, environmental, and infection control policies and procedures.
Related occupations",90
Acupuncturists,"Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.
Related occupations",89
Acupuncturists,"Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.
Related occupations",89
Acupuncturists,"Maintain detailed and complete records of health care plans and prognoses.
Related occupations",89
Acupuncturists,"Assess patients' general physical appearance to make diagnoses.
Related occupations",89
Acupuncturists,"Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.
Related occupations",85
Acupuncturists,"Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants.
Related occupations",84
Acupuncturists,"Consider Western medical procedures in health assessment, health care team communication, and care referrals.
Related occupations",83
Acupuncturists,"Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.
Related occupations",83
Acupuncturists,"Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina.
Related occupations",79
Acupuncturists,"Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa.
Related occupations",67
Acute Care Nurses,"Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions.
Related occupations",97
Acute Care Nurses,"Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly.
Related occupations",96
Acute Care Nurses,"Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes.
Related occupations",96
Acute Care Nurses,"Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.
Related occupations",94
Acute Care Nurses,"Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.
Related occupations",94
Acute Care Nurses,"Assess urgent and emergent health conditions, using both physiologically and technologically derived data.
Related occupations",94
Acute Care Nurses,"Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships.
Related occupations",89
Acute Care Nurses,"Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).
Related occupations",86
Acute Care Nurses,"Obtain specimens or samples for laboratory work.
Related occupations",85
Acute Care Nurses,"Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.
Related occupations",85
Acute Care Nurses,"Refer patients for specialty consultations or treatments.
Related occupations",85
Acute Care Nurses,"Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.
Related occupations",84
Acute Care Nurses,"Discuss illnesses and treatments with patients and family members.
Related occupations",83
Acute Care Nurses,"Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness.
Related occupations",83
Acute Care Nurses,"Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments.
Related occupations",80
Acute Care Nurses,"Assess the needs of patients' family members or caregivers.
Related occupations",77
Acute Care Nurses,"Perform administrative duties that facilitate admission, transfer, or discharge of patients.
Related occupations",76
Acute Care Nurses,"Provide formal and informal education to other staff members.
Related occupations",75
Acute Care Nurses,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care.
Related occupations",75
Acute Care Nurses,"Treat wounds or superficial lacerations.
Related occupations",73
Acute Care Nurses,"Participate in patients' care meetings and conferences.
Related occupations",71
Acute Care Nurses,"Participate in the development of practice protocols.
Related occupations",64
Acute Care Nurses,"Adjust settings on patients' assistive devices, such as temporary pacemakers.
Related occupations",92
Acute Care Nurses,"Order, perform, or interpret the results of diagnostic tests and screening procedures based on assessment results, differential diagnoses, and knowledge about age, gender and health status of clients.
Related occupations",81
Acute Care Nurses,"Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.
Related occupations",73
Acute Care Nurses,"Assist patients in organizing their health care system activities.
Related occupations",71
Adapted Physical Education Specialists,"Adapt instructional techniques to the age and skill levels of students.
Related occupations",98
Adapted Physical Education Specialists,"Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.
Related occupations",95
Adapted Physical Education Specialists,"Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.
Related occupations",95
Adapted Physical Education Specialists,"Provide students positive feedback to encourage them and help them develop an appreciation for physical education.
Related occupations",94
Adapted Physical Education Specialists,"Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.
Related occupations",92
Adapted Physical Education Specialists,"Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.
Related occupations",91
Adapted Physical Education Specialists,"Assess students' physical progress or needs.
Related occupations",83
Adapted Physical Education Specialists,"Assist in screening or placement of students in adapted physical education programs.
Related occupations",82
Adapted Physical Education Specialists,"Evaluate the motor needs of individual students to determine their need for adapted physical education services.
Related occupations",81
Adapted Physical Education Specialists,"Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.
Related occupations",81
Adapted Physical Education Specialists,"Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records.
Related occupations",79
Adapted Physical Education Specialists,"Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.
Related occupations",79
Adapted Physical Education Specialists,"Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.
Related occupations",78
Adapted Physical Education Specialists,"Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.
Related occupations",78
Adapted Physical Education Specialists,"Write reports to summarize student performance, social growth, or physical development.
Related occupations",76
Adapted Physical Education Specialists,"Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.
Related occupations",75
Adapted Physical Education Specialists,"Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.
Related occupations",74
Adapted Physical Education Specialists,"Review adapted physical education programs or practices to ensure compliance with government or other regulations.
Related occupations",63
Adapted Physical Education Specialists,"Request or order physical education equipment, following standard procedures.
Related occupations",62
Adapted Physical Education Specialists,"Maintain inventory of instructional equipment, materials, or aids.
Related occupations",58
Adhesive Bonding Machine Operators and Tenders,"Align and position materials being joined to ensure accurate application of adhesive or heat sealing.
Related occupations",90
Adhesive Bonding Machine Operators and Tenders,"Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.
Related occupations",89
Adhesive Bonding Machine Operators and Tenders,"Monitor machine operations to detect malfunctions and report or resolve problems.
Related occupations",89
Adhesive Bonding Machine Operators and Tenders,"Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.
Related occupations",88
Adhesive Bonding Machine Operators and Tenders,"Fill machines with glue, cement, or adhesives.
Related occupations",87
Adhesive Bonding Machine Operators and Tenders,"Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.
Related occupations",85
Adhesive Bonding Machine Operators and Tenders,"Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.
Related occupations",84
Adhesive Bonding Machine Operators and Tenders,"Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.
Related occupations",84
Adhesive Bonding Machine Operators and Tenders,"Remove and stack completed materials or products, and restock materials to be joined.
Related occupations",81
Adhesive Bonding Machine Operators and Tenders,"Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors.
Related occupations",80
Adhesive Bonding Machine Operators and Tenders,"Maintain production records such as quantities, dimensions, and thicknesses of materials processed.
Related occupations",80
Adhesive Bonding Machine Operators and Tenders,"Remove jammed materials from machines and readjust components as necessary to resume normal operations.
Related occupations",80
Adhesive Bonding Machine Operators and Tenders,"Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.
Related occupations",79
Adhesive Bonding Machine Operators and Tenders,"Transport materials, supplies, and finished products between storage and work areas, using forklifts.
Related occupations",71
Adhesive Bonding Machine Operators and Tenders,"Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers.
Related occupations",77
Adhesive Bonding Machine Operators and Tenders,"Measure and mix ingredients to prepare glue.
Related occupations",51
"Administrative Law Judges, Adjudicators, and Hearing Officers","Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.
Related occupations",92
"Administrative Law Judges, Adjudicators, and Hearing Officers","Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.
Related occupations",92
"Administrative Law Judges, Adjudicators, and Hearing Officers","Prepare written opinions and decisions.
Related occupations",91
"Administrative Law Judges, Adjudicators, and Hearing Officers","Authorize payment of valid claims and determine method of payment.
Related occupations",90
"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations.
Related occupations",90
"Administrative Law Judges, Adjudicators, and Hearing Officers","Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions.
Related occupations",88
"Administrative Law Judges, Adjudicators, and Hearing Officers","Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records.
Related occupations",84
"Administrative Law Judges, Adjudicators, and Hearing Officers","Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions.
Related occupations",84
"Administrative Law Judges, Adjudicators, and Hearing Officers","Rule on exceptions, motions, and admissibility of evidence.
Related occupations",83
"Administrative Law Judges, Adjudicators, and Hearing Officers","Explain to claimants how they can appeal rulings that go against them.
Related occupations",81
"Administrative Law Judges, Adjudicators, and Hearing Officers","Confer with individuals or organizations involved in cases to obtain relevant information.
Related occupations",74
"Administrative Law Judges, Adjudicators, and Hearing Officers","Issue subpoenas and administer oaths in preparation for formal hearings.
Related occupations",69
"Administrative Law Judges, Adjudicators, and Hearing Officers","Schedule hearings.
Related occupations",78
"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.
Related occupations",65
Administrative Services Managers,"Prepare and review operational reports and schedules to ensure accuracy and efficiency.
Related occupations",68
Administrative Services Managers,"Set goals and deadlines for the department.
Related occupations",68
Administrative Services Managers,"Acquire, distribute and store supplies.
Related occupations",60
Administrative Services Managers,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.
Related occupations",58
Administrative Services Managers,"Conduct classes to teach procedures to staff.
Related occupations",55
Administrative Services Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.
Related occupations",77
Administrative Services Managers,"Hire and terminate clerical and administrative personnel.
Related occupations",74
Administrative Services Managers,"Direct or coordinate the supportive services department of a business, agency, or organization.
Related occupations",73
Administrative Services Managers,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.
Related occupations",Not available
Administrative Services Managers,"Develop operational standards and procedures for the work unit or department.
Related occupations",Not available
Administrative Services Managers,"Establish work procedures or schedules to organize the daily work of administrative staff.
Related occupations",Not available
Administrative Services Managers,"Learn to operate new office technologies as they are developed and implemented.
Related occupations",Not available
Administrative Services Managers,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.
Related occupations",Not available
Administrative Services Managers,"Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.
Related occupations",Not available
Administrative Services Managers,"Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.
Related occupations",Not available
Administrative Services Managers,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.
Related occupations",Not available
Administrative Services Managers,"Represent work unit at meetings or conferences and serve as liaison for requests or complaints.
Related occupations",Not available
Administrative Services Managers,"Supervise administrative staff and provide training and orientation to new staff.
Related occupations",Not available
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Observe and evaluate students' work to determine progress and make suggestions for improvement.
Related occupations",85
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.
Related occupations",83
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.
Related occupations",82
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.
Related occupations",81
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.
Related occupations",80
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare materials and classrooms for class activities.
Related occupations",80
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.
Related occupations",79
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Related occupations",79
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Assign and grade class work and homework.
Related occupations",79
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Maintain accurate and complete student records as required by laws or administrative policies.
Related occupations",78
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills.
Related occupations",77
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.
Related occupations",74
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.
Related occupations",69
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare and implement remedial programs for students requiring extra help.
Related occupations",67
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.
Related occupations",67
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Enforce administration policies and rules governing students.
Related occupations",67
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Use computers, audio-visual aids, and other equipment and materials to supplement presentations.
Related occupations",66
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.
Related occupations",66
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare reports on students and activities as required by administration.
Related occupations",65
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.
Related occupations",64
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Register, orient, and assess new students according to standards and procedures.
Related occupations",63
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Collaborate with other teachers and professionals in the development of instructional programs.
Related occupations",62
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Attend staff meetings and serve on committees, as required.
Related occupations",61
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Meet with other professionals to discuss individual students' needs and progress.
Related occupations",59
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Guide and counsel students with adjustment or academic problems or special academic interests.
Related occupations",58
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Select, order, and issue books, materials, and supplies for courses or projects.
Related occupations",56
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Attend professional meetings, conferences, and workshops to maintain and improve professional competence.
Related occupations",55
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula.
Related occupations",54
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities.
Related occupations",52
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Provide students with disabilities with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.
Related occupations",73
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination.
Related occupations",68
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Select and schedule class times to ensure maximum attendance.
Related occupations",64
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Train and assist tutors and community literacy volunteers.
Related occupations",62
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Observe and evaluate the performance of other instructors.
Related occupations",52
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Confer with leaders of government and community groups to coordinate student training or to find opportunities for students to fulfill curriculum requirements.
Related occupations",52
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Participate in publicity planning, community awareness efforts, and student recruitment.
Related occupations",52
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Advise students on internships, prospective employers, and job placement services.
Related occupations",51
Advanced Practice Psychiatric Nurses,"Assess patients' mental and physical status, based on the presenting symptoms and complaints.
Related occupations",98
Advanced Practice Psychiatric Nurses,"Diagnose psychiatric disorders and mental health conditions.
Related occupations",97
Advanced Practice Psychiatric Nurses,"Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.
Related occupations",97
Advanced Practice Psychiatric Nurses,"Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.
Related occupations",97
Advanced Practice Psychiatric Nurses,"Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.
Related occupations",97
Advanced Practice Psychiatric Nurses,"Monitor patients' medication usage and results.
Related occupations",97
Advanced Practice Psychiatric Nurses,"Evaluate patients' behavior to formulate diagnoses or assess treatments.
Related occupations",96
Advanced Practice Psychiatric Nurses,"Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.
Related occupations",94
Advanced Practice Psychiatric Nurses,"Develop and implement treatment plans.
Related occupations",93
Advanced Practice Psychiatric Nurses,"Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.
Related occupations",85
Advanced Practice Psychiatric Nurses,"Participate in activities aimed at professional growth and development, including conferences or continuing education activities.
Related occupations",85
Advanced Practice Psychiatric Nurses,"Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing staff, to develop, implement, or evaluate treatment plans.
Related occupations",83
Advanced Practice Psychiatric Nurses,"Consult with psychiatrists or other professionals when unusual or complex cases are encountered.
Related occupations",81
Advanced Practice Psychiatric Nurses,"Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.
Related occupations",79
Advanced Practice Psychiatric Nurses,"Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.
Related occupations",76
Advanced Practice Psychiatric Nurses,"Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests.
Related occupations",72
Advanced Practice Psychiatric Nurses,"Develop practice protocols for mental health problems, based on review and evaluation of published research.
Related occupations",65
Advanced Practice Psychiatric Nurses,"Provide routine physical health screenings to detect or monitor problems such as heart disease and diabetes.
Related occupations",64
Advanced Practice Psychiatric Nurses,"Administer medications, including those administered by injection.
Related occupations",64
Advanced Practice Psychiatric Nurses,"Develop, implement, or evaluate programs such as outreach activities, community mental health programs, and crisis situation response activities.
Related occupations",57
Advanced Practice Psychiatric Nurses,"Monitor the use and status of medical and pharmaceutical supplies.
Related occupations",67
Advanced Practice Psychiatric Nurses,"Treat patients for routine physical health problems.
Related occupations",63
Advanced Practice Psychiatric Nurses,"Direct or provide home health services.
Related occupations",63
Advanced Practice Psychiatric Nurses,"Teach classes in mental health topics, such as stress reduction.
Related occupations",44
Advertising and Promotions Managers,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.
Related occupations",78
Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.
Related occupations",77
Advertising and Promotions Managers,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.
Related occupations",73
Advertising and Promotions Managers,"Coordinate with the media to disseminate advertising.
Related occupations",72
Advertising and Promotions Managers,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.
Related occupations",71
Advertising and Promotions Managers,"Plan and execute advertising policies and strategies for organizations.
Related occupations",70
Advertising and Promotions Managers,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.
Related occupations",70
Advertising and Promotions Managers,"Prepare budgets and submit estimates for program costs as part of campaign plan development.
Related occupations",67
Advertising and Promotions Managers,"Contact organizations to explain services and facilities offered.
Related occupations",65
Advertising and Promotions Managers,"Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.
Related occupations",65
