Occupation Name,Occupation URL,Tasks
Advanced Practice Psychiatric Nurses,https://www.onetonline.org/link/summary/29-1141.02,"[""Monitor patients' medication usage and results.\nRelated occupations"", ""Evaluate patients' behavior to formulate diagnoses or assess treatments.\nRelated occupations"", 'Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.\nRelated occupations', 'Develop and implement treatment plans.\nRelated occupations', 'Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.\nRelated occupations', 'Participate in activities aimed at professional growth and development, including conferences or continuing education activities.\nRelated occupations', 'Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing staff, to develop, implement, or evaluate treatment plans.\nRelated occupations', 'Consult with psychiatrists or other professionals when unusual or complex cases are encountered.\nRelated occupations', 'Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.\nRelated occupations', 'Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.\nRelated occupations', 'Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests.\nRelated occupations', 'Develop practice protocols for mental health problems, based on review and evaluation of published research.\nRelated occupations', 'Provide routine physical health screenings to detect or monitor problems such as heart disease and diabetes.\nRelated occupations', 'Administer medications, including those administered by injection.\nRelated occupations', 'Develop, implement, or evaluate programs such as outreach activities, community mental health programs, and crisis situation response activities.\nRelated occupations', 'Monitor the use and status of medical and pharmaceutical supplies.\nRelated occupations', 'Treat patients for routine physical health problems.\nRelated occupations', 'Direct or provide home health services.\nRelated occupations', 'Teach classes in mental health topics, such as stress reduction.\nRelated occupations']"
Advertising and Promotions Managers,https://www.onetonline.org/link/summary/11-2011.00,"['Plan and execute advertising policies and strategies for organizations.\nRelated occupations', 'Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.\nRelated occupations', 'Prepare budgets and submit estimates for program costs as part of campaign plan development.\nRelated occupations', 'Contact organizations to explain services and facilities offered.\nRelated occupations', 'Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.\nRelated occupations', 'Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.\nRelated occupations', 'Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.\nRelated occupations', 'Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.\nRelated occupations', 'Manage sales team, including setting goals, providing incentives, and evaluating employee performance.\nRelated occupations', 'Prepare and negotiate advertising and sales contracts.\nRelated occupations', 'Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.\nRelated occupations', 'Train and direct workers engaged in developing and producing advertisements.\nRelated occupations', 'Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.\nRelated occupations', 'Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.\nRelated occupations', 'Represent company at trade association meetings to promote products.\nRelated occupations', 'Direct and coordinate product research and development.\nRelated occupations', 'Analyze marketing or sales trends to forecast future conditions.\nRelated occupations', 'Analyze the effectiveness of marketing tactics or channels.\nRelated occupations', 'Attend or participate in conferences, community events, and promotional events related to products or technologies.\nRelated occupations', 'Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.\nRelated occupations', 'Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.\nRelated occupations', 'Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.\nRelated occupations', 'Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.\nRelated occupations', 'Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.\nRelated occupations', 'Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.\nRelated occupations']"
Advertising Sales Agents,https://www.onetonline.org/link/summary/41-3011.00,"[""Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.\nRelated occupations"", 'Prepare promotional plans, sales literature, media kits, and sales contracts, using computer.\nRelated occupations', 'Process all correspondence and paperwork related to accounts.\nRelated occupations', 'Draw up contracts for advertising work, and collect payments due.\nRelated occupations', 'Deliver advertising or illustration proofs to customers for approval.\nRelated occupations', 'Inform customers of available options for advertisement artwork, and provide samples.\nRelated occupations', 'Recommend appropriate sizes and formats for advertising, depending on medium used.\nRelated occupations', 'Write copy as part of layout.\nRelated occupations', 'Determine advertising medium to be used, and prepare sample advertisements within the selected medium for presentation to customers.\nRelated occupations', 'Gather all relevant material for bid processes, and coordinate bidding and contract approval.\nRelated occupations', 'Consult with company officials, sales departments, and advertising agencies to develop promotional plans.\nRelated occupations', 'Identify new advertising markets, and propose products to serve them.\nRelated occupations', 'Arrange for commercial taping sessions, and accompany clients to sessions.\nRelated occupations', 'Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge.\nRelated occupations', 'Write sales outlines for use by staff.\nRelated occupations']"
Aerospace Engineering and Operations Technologists and Technicians,https://www.onetonline.org/link/summary/17-3021.00,"['Record and interpret test data on parts, assemblies, and mechanisms.\nRelated occupations', 'Adjust, repair, or replace faulty components of test setups and equipment.\nRelated occupations', 'Fabricate and install parts and systems to be tested in test equipment, using hand tools, power tools, and test instruments.\nRelated occupations', 'Finish vehicle instrumentation and deinstrumentation.\nRelated occupations', 'Construct and maintain test facilities for aircraft parts and systems, according to specifications.\nRelated occupations', 'Design electrical and mechanical systems for avionic instrumentation applications.\nRelated occupations']"
Aerospace Engineers,https://www.onetonline.org/link/summary/17-2011.00,"['Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products.\nRelated occupations', 'Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards.\nRelated occupations', 'Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.\nRelated occupations', 'Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products.\nRelated occupations', 'Maintain records of performance reports for future reference.\nRelated occupations', 'Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.\nRelated occupations', 'Direct aerospace research and development programs.\nRelated occupations', 'Evaluate and approve selection of vendors by studying past performance or new advertisements.\nRelated occupations', 'Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.\nRelated occupations', 'Design or engineer filtration systems that reduce harmful emissions.\nRelated occupations', 'Evaluate biofuel performance specifications to determine feasibility for aerospace applications.\nRelated occupations']"
"Agents and Business Managers of Artists, Performers, and Athletes",https://www.onetonline.org/link/summary/13-1011.00,"['Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.\nRelated occupations', ""Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.\nRelated occupations"", 'Schedule promotional or performance engagements for clients.\nRelated occupations', 'Arrange meetings concerning issues involving their clients.\nRelated occupations', 'Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.\nRelated occupations', 'Hire trainers or coaches to advise clients on performance matters, such as training techniques or performance presentations.\nRelated occupations', 'Prepare periodic accounting statements for clients.\nRelated occupations', 'Obtain information about or inspect performance facilities, equipment, and accommodations to ensure that they meet specifications.\nRelated occupations', 'Advise clients on financial and legal matters, such as investments and taxes.\nRelated occupations']"
Agricultural Engineers,https://www.onetonline.org/link/summary/17-2021.00,"['Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.\nRelated occupations', 'Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources.\nRelated occupations', 'Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.\nRelated occupations', 'Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.\nRelated occupations', 'Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life.\nRelated occupations', 'Design agricultural machinery components and equipment, using computer-aided design (CAD) technology.\nRelated occupations', 'Design and supervise environmental and land reclamation projects in agriculture and related industries.\nRelated occupations', 'Design food processing plants and related mechanical systems.\nRelated occupations', 'Supervise food processing or manufacturing plant operations.\nRelated occupations']"
Agricultural Equipment Operators,https://www.onetonline.org/link/summary/45-2091.00,"['Operate or tend equipment used in agricultural production, such as tractors, combines, and irrigation equipment.\nRelated occupations', 'Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.\nRelated occupations', 'Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools.\nRelated occupations', 'Load hoppers, containers, or conveyors to feed machines with products, using forklifts, transfer augers, suction gates, shovels, or pitchforks.\nRelated occupations', 'Direct and monitor the activities of work crews engaged in planting, weeding, or harvesting activities.\nRelated occupations', 'Operate towed machines such as seed drills or manure spreaders to plant, fertilize, dust, and spray crops.\nRelated occupations', 'Weigh crop-filled containers, and record weights and other identifying information.\nRelated occupations', 'Walk beside or ride on planting machines while inserting plants in planter mechanisms at specified intervals.\nRelated occupations', 'Drive trucks to haul crops, supplies, tools, or farm workers.\nRelated occupations', 'Guide products on conveyors to regulate flow through machines, and to discard diseased or rotten products.\nRelated occupations', 'Position boxes or attach bags at discharge ends of machinery to catch products, removing and closing full containers.\nRelated occupations', 'Irrigate soil, using portable pipes or ditch systems, and maintain ditches or pipes and pumps.\nRelated occupations']"
Agricultural Inspectors,https://www.onetonline.org/link/summary/45-2011.00,"['Take emergency actions, such as closing production facilities, if product safety is compromised.\nRelated occupations', 'Verify that transportation and handling procedures meet regulatory requirements.\nRelated occupations', 'Inspect the cleanliness and practices of establishment employees.\nRelated occupations', 'Examine, weigh, and measure commodities, such as poultry, eggs, meat, or seafood to certify qualities, grades, and weights.\nRelated occupations', 'Inspect or test horticultural products or livestock to detect harmful diseases, chemical residues, or infestations and to determine the quality of products or animals.\nRelated occupations', 'Monitor the grading performed by company employees to verify conformance to standards.\nRelated occupations', 'Write reports of findings and recommendations and advise farmers, growers, or processors of corrective action to be taken.\nRelated occupations', 'Collect samples from animals, plants, or products and route them to laboratories for microbiological assessment, ingredient verification, or other testing.\nRelated occupations', 'Provide consultative services in areas such as equipment or product evaluation, plant construction or layout, or food safety systems.\nRelated occupations', 'Testify in legal proceedings.\nRelated occupations', 'Compare product recipes with government-approved formulas or recipes to determine acceptability.\nRelated occupations']"
"Agricultural Sciences Teachers, Postsecondary",https://www.onetonline.org/link/summary/25-1041.00,"['Prepare and deliver lectures to undergraduate or graduate students on topics such as crop production, plant genetics, and soil chemistry.\nRelated occupations', 'Collaborate with colleagues to address teaching and research issues.\nRelated occupations', 'Prepare course materials, such as syllabi, homework assignments, and handouts.\nRelated occupations', ""Evaluate and grade students' class work, laboratory work, assignments, and papers.\nRelated occupations"", 'Maintain regularly scheduled office hours to advise and assist students.\nRelated occupations', 'Initiate, facilitate, and moderate classroom discussions.\nRelated occupations', 'Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.\nRelated occupations', 'Compile, administer, and grade examinations, or assign this work to others.\nRelated occupations', 'Maintain student attendance records, grades, and other required records.\nRelated occupations', 'Participate in student recruitment, registration, and placement activities.\nRelated occupations', 'Select and obtain materials and supplies, such as textbooks and laboratory equipment.\nRelated occupations', 'Act as advisers to student organizations.\nRelated occupations', 'Write grant proposals to procure external research funding.\nRelated occupations', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.\nRelated occupations', 'Participate in campus and community events.\nRelated occupations', 'Provide professional consulting services to government or industry.\nRelated occupations', 'Compile bibliographies of specialized materials for outside reading assignments.\nRelated occupations', 'Perform administrative duties, such as serving as department head.\nRelated occupations']"
Agricultural Technicians,https://www.onetonline.org/link/summary/19-4012.00,"['Collect animal or crop samples.\nRelated occupations', 'Examine animals or crop specimens to determine the presence of diseases or other problems.\nRelated occupations', 'Set up laboratory or field equipment as required for site testing.\nRelated occupations', 'Supervise or train agricultural technicians or farm laborers.\nRelated occupations', 'Conduct studies of nitrogen or alternative fertilizer application methods, quantities, or timing to ensure satisfaction of crop needs and minimization of leaching, runoff, or denitrification.\nRelated occupations', 'Prepare laboratory samples for analysis, following proper protocols to ensure that they will be stored, prepared, and disposed of efficiently and effectively.\nRelated occupations', 'Measure or weigh ingredients used in laboratory testing.\nRelated occupations', 'Perform tests on seeds to evaluate seed viability.\nRelated occupations', 'Prepare data summaries, reports, or analyses that include results, charts, or graphs to document research findings and results.\nRelated occupations', 'Perform laboratory or field testing, using spectrometers, nitrogen determination apparatus, air samplers, centrifuges, or potential hydrogen (pH) meters to perform tests.\nRelated occupations', 'Supervise pest or weed control operations, including locating and identifying pests or weeds, selecting chemicals and application methods, or scheduling application.\nRelated occupations', 'Devise cultural methods or environmental controls for plants for which guidelines are sketchy or nonexistent.\nRelated occupations', 'Conduct insect or plant disease surveys.\nRelated occupations', 'Perform general nursery duties, such as propagating standard varieties of plant materials, collecting and germinating seeds, maintaining cuttings of plants, or controlling environmental conditions.\nRelated occupations', 'Record environmental data from field samples of soil, air, water, or pests to monitor the effectiveness of integrated pest management (IPM) practices.\nRelated occupations', 'Determine the germination rates of seeds planted in specified areas.\nRelated occupations', 'Transplant trees, vegetables, or horticultural plants.\nRelated occupations', 'Prepare culture media, following standard procedures.\nRelated occupations', 'Respond to general inquiries or requests from the public.\nRelated occupations', 'Prepare or present agricultural demonstrations.\nRelated occupations', 'Assess comparative soil erosion from various planting or tillage systems, such as conservation tillage with mulch or ridge till systems, no-till systems, or conventional tillage systems with or without moldboard plows.\nRelated occupations']"
