Occupation Name,Occupation URL,Tasks
"Advanced Practice Psychiatric Nurses 
29-1141.02



",https://www.onetonline.org/link/summary/29-1141.02,"[""Assess patients' mental and physical status, based on the presenting symptoms and complaints."", 'Diagnose psychiatric disorders and mental health conditions.', ""Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes."", 'Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.', 'Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.', ""Monitor patients' medication usage and results."", ""Evaluate patients' behavior to formulate diagnoses or assess treatments."", 'Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.', 'Develop and implement treatment plans.', 'Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.', 'Participate in activities aimed at professional growth and development, including conferences or continuing education activities.', 'Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing staff, to develop, implement, or evaluate treatment plans.', 'Consult with psychiatrists or other professionals when unusual or complex cases are encountered.', 'Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.', 'Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.', 'Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests.', 'Develop practice protocols for mental health problems, based on review and evaluation of published research.', 'Provide routine physical health screenings to detect or monitor problems such as heart disease and diabetes.', 'Administer medications, including those administered by injection.', 'Develop, implement, or evaluate programs such as outreach activities, community mental health programs, and crisis situation response activities.', 'Monitor the use and status of medical and pharmaceutical supplies.', 'Treat patients for routine physical health problems.', 'Direct or provide home health services.', 'Teach classes in mental health topics, such as stress reduction.']"
"Advertising and Promotions Managers 
11-2011.00

",https://www.onetonline.org/link/summary/11-2011.00,"['Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.', 'Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.', 'Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.', 'Coordinate with the media to disseminate advertising.', 'Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.', 'Plan and execute advertising policies and strategies for organizations.', 'Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.', 'Prepare budgets and submit estimates for program costs as part of campaign plan development.', 'Contact organizations to explain services and facilities offered.', 'Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.', 'Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.', 'Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.', 'Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.', 'Manage sales team, including setting goals, providing incentives, and evaluating employee performance.', 'Prepare and negotiate advertising and sales contracts.', 'Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.', 'Train and direct workers engaged in developing and producing advertisements.', 'Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.', 'Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.', 'Represent company at trade association meetings to promote products.', 'Direct and coordinate product research and development.', 'Analyze marketing or sales trends to forecast future conditions.', 'Analyze the effectiveness of marketing tactics or channels.', 'Attend or participate in conferences, community events, and promotional events related to products or technologies.', 'Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.', 'Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.', 'Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.', 'Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.', 'Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.', 'Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.']"
"Advertising Sales Agents 
41-3011.00

",https://www.onetonline.org/link/summary/41-3011.00,"['Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.', 'Maintain assigned account bases while developing new accounts.', 'Provide clients with estimates of the costs of advertising products or services.', 'Locate and contact potential clients to offer advertising services.', 'Explain to customers how specific types of advertising will help promote their products or services in the most effective way possible.', ""Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance."", 'Prepare promotional plans, sales literature, media kits, and sales contracts, using computer.', 'Process all correspondence and paperwork related to accounts.', 'Draw up contracts for advertising work, and collect payments due.', 'Deliver advertising or illustration proofs to customers for approval.', 'Inform customers of available options for advertisement artwork, and provide samples.', 'Recommend appropriate sizes and formats for advertising, depending on medium used.', 'Write copy as part of layout.', 'Determine advertising medium to be used, and prepare sample advertisements within the selected medium for presentation to customers.', 'Gather all relevant material for bid processes, and coordinate bidding and contract approval.', 'Consult with company officials, sales departments, and advertising agencies to develop promotional plans.', 'Identify new advertising markets, and propose products to serve them.', 'Arrange for commercial taping sessions, and accompany clients to sessions.', 'Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge.', 'Write sales outlines for use by staff.']"
"Aerospace Engineering and Operations Technologists and Technicians 
17-3021.00



",https://www.onetonline.org/link/summary/17-3021.00,"['Test aircraft systems under simulated operational conditions, performing systems readiness tests and pre- and post-operational checkouts, to establish design or fabrication parameters.', 'Identify required data, data acquisition plans, and test parameters, setting up equipment to conform to these specifications.', 'Inspect, diagnose, maintain, and operate test setups and equipment to detect malfunctions.', 'Confer with engineering personnel regarding details and implications of test procedures and results.', 'Operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis.', 'Record and interpret test data on parts, assemblies, and mechanisms.', 'Adjust, repair, or replace faulty components of test setups and equipment.', 'Fabricate and install parts and systems to be tested in test equipment, using hand tools, power tools, and test instruments.', 'Finish vehicle instrumentation and deinstrumentation.', 'Construct and maintain test facilities for aircraft parts and systems, according to specifications.', 'Design electrical and mechanical systems for avionic instrumentation applications.']"
"Aerospace Engineers 
17-2011.00



",https://www.onetonline.org/link/summary/17-2011.00,"['Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.', 'Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.', 'Formulate conceptual design of aeronautical or aerospace products or systems to meet customer requirements or conform to environmental regulations.', ""Plan or coordinate investigation and resolution of customers' reports of technical problems with aircraft or aerospace vehicles."", 'Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.', 'Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products.', 'Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards.', 'Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.', 'Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products.', 'Maintain records of performance reports for future reference.', 'Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.', 'Direct aerospace research and development programs.', 'Evaluate and approve selection of vendors by studying past performance or new advertisements.', 'Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.', 'Design or engineer filtration systems that reduce harmful emissions.', 'Evaluate biofuel performance specifications to determine feasibility for aerospace applications.']"
"Agents and Business Managers of Artists, Performers, and Athletes 
13-1011.00



",https://www.onetonline.org/link/summary/13-1011.00,"['Collect fees, commissions, or other payments, according to contract terms.', ""Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals."", 'Keep informed of industry trends and deals.', 'Conduct auditions or interviews to evaluate potential clients.', ""Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations."", 'Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.', ""Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success."", 'Schedule promotional or performance engagements for clients.', 'Arrange meetings concerning issues involving their clients.', 'Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.', 'Hire trainers or coaches to advise clients on performance matters, such as training techniques or performance presentations.', 'Prepare periodic accounting statements for clients.', 'Obtain information about or inspect performance facilities, equipment, and accommodations to ensure that they meet specifications.', 'Advise clients on financial and legal matters, such as investments and taxes.']"
"Agricultural Engineers 
17-2021.00



",https://www.onetonline.org/link/summary/17-2021.00,"['Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.', 'Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities.', 'Meet with clients, such as district or regional councils, farmers, and developers, to discuss their needs.', 'Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made.', 'Test agricultural machinery and equipment to ensure adequate performance.', 'Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.', 'Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources.', 'Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.', 'Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.', 'Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life.', 'Design agricultural machinery components and equipment, using computer-aided design (CAD) technology.', 'Design and supervise environmental and land reclamation projects in agriculture and related industries.', 'Design food processing plants and related mechanical systems.', 'Supervise food processing or manufacturing plant operations.']"
"Agricultural Equipment Operators 
45-2091.00



",https://www.onetonline.org/link/summary/45-2091.00,"['Load and unload crops or containers of materials, manually or using conveyors, handtrucks, forklifts, or transfer augers.', 'Mix specified materials or chemicals, and dump solutions, powders, or seeds into planter or sprayer machinery.', 'Spray fertilizer or pesticide solutions to control insects, fungus and weed growth, and diseases, using hand sprayers.', 'Observe and listen to machinery operation to detect equipment malfunctions.', 'Manipulate controls to set, activate, and adjust mechanisms on machinery.', 'Operate or tend equipment used in agricultural production, such as tractors, combines, and irrigation equipment.', 'Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.', 'Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools.', 'Load hoppers, containers, or conveyors to feed machines with products, using forklifts, transfer augers, suction gates, shovels, or pitchforks.', 'Direct and monitor the activities of work crews engaged in planting, weeding, or harvesting activities.', 'Operate towed machines such as seed drills or manure spreaders to plant, fertilize, dust, and spray crops.', 'Weigh crop-filled containers, and record weights and other identifying information.', 'Walk beside or ride on planting machines while inserting plants in planter mechanisms at specified intervals.', 'Drive trucks to haul crops, supplies, tools, or farm workers.', 'Guide products on conveyors to regulate flow through machines, and to discard diseased or rotten products.', 'Position boxes or attach bags at discharge ends of machinery to catch products, removing and closing full containers.', 'Irrigate soil, using portable pipes or ditch systems, and maintain ditches or pipes and pumps.']"
"Agricultural Inspectors 
45-2011.00

",https://www.onetonline.org/link/summary/45-2011.00,"['Inspect food products and processing procedures to determine whether products are safe to eat.', 'Interpret and enforce government acts and regulations and explain required standards to agricultural workers.', 'Inspect agricultural commodities or related operations, as well as fish or logging operations, for compliance with laws and regulations governing health, quality, and safety.', 'Label and seal graded products and issue official grading certificates.', 'Monitor the operations and sanitary conditions of slaughtering or meat processing plants.', 'Take emergency actions, such as closing production facilities, if product safety is compromised.', 'Verify that transportation and handling procedures meet regulatory requirements.', 'Inspect the cleanliness and practices of establishment employees.', 'Examine, weigh, and measure commodities, such as poultry, eggs, meat, or seafood to certify qualities, grades, and weights.', 'Inspect or test horticultural products or livestock to detect harmful diseases, chemical residues, or infestations and to determine the quality of products or animals.', 'Monitor the grading performed by company employees to verify conformance to standards.', 'Write reports of findings and recommendations and advise farmers, growers, or processors of corrective action to be taken.', 'Collect samples from animals, plants, or products and route them to laboratories for microbiological assessment, ingredient verification, or other testing.', 'Provide consultative services in areas such as equipment or product evaluation, plant construction or layout, or food safety systems.', 'Testify in legal proceedings.', 'Compare product recipes with government-approved formulas or recipes to determine acceptability.']"
"Agricultural Sciences Teachers, Postsecondary 
25-1041.00



",https://www.onetonline.org/link/summary/25-1041.00,"['Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.', 'Advise students on academic and vocational curricula and on career issues.', 'Supervise undergraduate or graduate teaching, internship, and research work.', 'Supervise laboratory sessions and field work and coordinate laboratory operations.', 'Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.', 'Prepare and deliver lectures to undergraduate or graduate students on topics such as crop production, plant genetics, and soil chemistry.', 'Collaborate with colleagues to address teaching and research issues.', 'Prepare course materials, such as syllabi, homework assignments, and handouts.', ""Evaluate and grade students' class work, laboratory work, assignments, and papers."", 'Maintain regularly scheduled office hours to advise and assist students.', 'Initiate, facilitate, and moderate classroom discussions.', 'Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.', 'Compile, administer, and grade examinations, or assign this work to others.', 'Maintain student attendance records, grades, and other required records.', 'Participate in student recruitment, registration, and placement activities.', 'Select and obtain materials and supplies, such as textbooks and laboratory equipment.', 'Act as advisers to student organizations.', 'Write grant proposals to procure external research funding.', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.', 'Participate in campus and community events.', 'Provide professional consulting services to government or industry.', 'Compile bibliographies of specialized materials for outside reading assignments.', 'Perform administrative duties, such as serving as department head.']"
"Agricultural Technicians 
19-4012.00



",https://www.onetonline.org/link/summary/19-4012.00,"['Prepare land for cultivated crops, orchards, or vineyards by plowing, discing, leveling, or contouring.', 'Operate farm machinery, including tractors, plows, mowers, combines, balers, sprayers, earthmoving equipment, or trucks.', 'Record data pertaining to experimentation, research, or animal care.', 'Maintain or repair agricultural facilities, equipment, or tools to ensure operational readiness, safety, and cleanliness.', 'Perform crop production duties, such as tilling, hoeing, pruning, weeding, or harvesting crops.', 'Collect animal or crop samples.', 'Examine animals or crop specimens to determine the presence of diseases or other problems.', 'Set up laboratory or field equipment as required for site testing.', 'Supervise or train agricultural technicians or farm laborers.', 'Conduct studies of nitrogen or alternative fertilizer application methods, quantities, or timing to ensure satisfaction of crop needs and minimization of leaching, runoff, or denitrification.', 'Prepare laboratory samples for analysis, following proper protocols to ensure that they will be stored, prepared, and disposed of efficiently and effectively.', 'Measure or weigh ingredients used in laboratory testing.', 'Perform tests on seeds to evaluate seed viability.', 'Prepare data summaries, reports, or analyses that include results, charts, or graphs to document research findings and results.', 'Perform laboratory or field testing, using spectrometers, nitrogen determination apparatus, air samplers, centrifuges, or potential hydrogen (pH) meters to perform tests.', 'Supervise pest or weed control operations, including locating and identifying pests or weeds, selecting chemicals and application methods, or scheduling application.', 'Devise cultural methods or environmental controls for plants for which guidelines are sketchy or nonexistent.', 'Conduct insect or plant disease surveys.', 'Perform general nursery duties, such as propagating standard varieties of plant materials, collecting and germinating seeds, maintaining cuttings of plants, or controlling environmental conditions.', 'Record environmental data from field samples of soil, air, water, or pests to monitor the effectiveness of integrated pest management (IPM) practices.', 'Determine the germination rates of seeds planted in specified areas.', 'Transplant trees, vegetables, or horticultural plants.', 'Prepare culture media, following standard procedures.', 'Respond to general inquiries or requests from the public.', 'Prepare or present agricultural demonstrations.', 'Assess comparative soil erosion from various planting or tillage systems, such as conservation tillage with mulch or ridge till systems, no-till systems, or conventional tillage systems with or without moldboard plows.']"
"Air Traffic Controllers 
53-2021.00

",https://www.onetonline.org/link/summary/53-2021.00,"['Inform pilots about nearby planes or potentially hazardous conditions, such as weather, speed and direction of wind, or visibility problems.', 'Issue landing and take-off authorizations or instructions.', 'Transfer control of departing flights to traffic control centers and accept control of arriving flights.', 'Provide flight path changes or directions to emergency landing fields for pilots traveling in bad weather or in emergency situations.', 'Alert airport emergency services in cases of emergency or when aircraft are experiencing difficulties.', 'Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.', 'Direct pilots to runways when space is available or direct them to maintain a traffic pattern until there is space for them to land.', 'Monitor aircraft within a specific airspace, using radar, computer equipment, or visual references.', 'Direct ground traffic, including taxiing aircraft, maintenance or baggage vehicles, or airport workers.', 'Contact pilots by radio to provide meteorological, navigational, or other information.', 'Maintain radio or telephone contact with adjacent control towers, terminal control units, or other area control centers to coordinate aircraft movement.', 'Determine the timing or procedures for flight vector changes.', 'Initiate or coordinate searches for missing aircraft.', 'Provide on-the-job training to new air traffic controllers.', ""Check conditions and traffic at different altitudes in response to pilots' requests for altitude changes."", 'Relay air traffic information, such as courses, altitudes, or expected arrival times, to control centers.', 'Inspect, adjust, or control radio equipment or airport lights.', 'Compile information about flights from flight plans, pilot reports, radar, or observations.', 'Organize flight plans or traffic management plans to prepare for planes about to enter assigned airspace.', 'Review records or reports for clarity and completeness and maintain records or reports, as required under federal law.', 'Complete daily activity reports and keep records of messages from aircraft.', 'Conduct pre-flight briefings on weather conditions, suggested routes, altitudes, indications of turbulence, or other flight safety information.', 'Analyze factors such as weather reports, fuel requirements, or maps to determine air routes.']"
"Aircraft Cargo Handling Supervisors 
53-1041.00



",https://www.onetonline.org/link/summary/53-1041.00,"[""Determine the quantity and orientation of cargo, and compute an aircraft's center of gravity."", 'Direct ground crews in the loading, unloading, securing, or staging of aircraft cargo or baggage.', 'Train new employees in areas such as safety procedures or equipment operation.', 'Distribute cargo to maximize use of space.', 'Calculate load weights for different aircraft compartments, using charts and computers.', 'Accompany aircraft as a member of the flight crew to monitor and handle cargo in flight.']"
"Aircraft Mechanics and Service Technicians 
49-3011.00

",https://www.onetonline.org/link/summary/49-3011.00,"['Examine and inspect aircraft components, including landing gear, hydraulic systems, and deicers to locate cracks, breaks, leaks, or other problems.', 'Conduct routine and special inspections as required by regulations.', 'Inspect completed work to certify that maintenance meets standards and that aircraft are ready for operation.', 'Read and interpret maintenance manuals, service bulletins, and other specifications to determine the feasibility and method of repairing or replacing malfunctioning or damaged components.', 'Maintain repair logs, documenting all preventive and corrective aircraft maintenance.', 'Modify aircraft structures, space vehicles, systems, or components, following drawings, schematics, charts, engineering orders, and technical publications.', 'Inspect airframes for wear or other defects.', 'Measure parts for wear, using precision instruments.', 'Obtain fuel and oil samples and check them for contamination.', 'Maintain, repair, and rebuild aircraft structures, functional components, and parts, such as wings and fuselage, rigging, hydraulic units, oxygen systems, fuel systems, electrical systems, gaskets, or seals.', 'Replace or repair worn, defective, or damaged components, using hand tools, gauges, and testing equipment.', ""Read and interpret pilots' descriptions of problems to diagnose causes."", 'Test operation of engines and other systems, using test equipment, such as ignition analyzers, compression checkers, distributor timers, or ammeters.', 'Measure the tension of control cables.', 'Spread plastic film over areas to be repaired to prevent damage to surrounding areas.', 'Remove or install aircraft engines, using hoists or forklift trucks.', 'Assemble and install electrical, plumbing, mechanical, hydraulic, and structural components and accessories, using hand or power tools.', 'Locate and mark dimensions and reference lines on defective or replacement parts, using templates, scribes, compasses, and steel rules.', 'Fabricate defective sections or parts, using metal fabricating machines, saws, brakes, shears, and grinders.', 'Reassemble engines following repair or inspection and reinstall engines in aircraft.', 'Service and maintain aircraft and related apparatus by performing activities such as flushing crankcases, cleaning screens, and or moving parts.', 'Clean, refuel, and change oil in line service aircraft.', 'Trim and shape replacement body sections to specified sizes and fits and secure sections in place, using adhesives, hand tools, and power tools.', 'Accompany aircraft on flights to make in-flight adjustments and corrections.', 'Remove or cut out defective parts or drill holes to gain access to internal defects or damage, using drills and punches.', 'Install and align repaired or replacement parts for subsequent riveting or welding, using clamps and wrenches.', 'Inventory and requisition or order supplies, parts, materials, and equipment.', 'Clean, strip, prime, and sand structural surfaces and materials to prepare them for bonding.', 'Communicate with other workers to coordinate fitting and alignment of heavy parts, or to facilitate processing of repair parts.', 'Examine engines through specially designed openings while working from ladders or scaffolds, or use hoists or lifts to remove the entire engine from an aircraft.', 'Check for corrosion, distortion, and invisible cracks in the fuselage, wings, and tail, using x-ray and magnetic inspection equipment.', 'Disassemble engines and inspect parts, such as turbine blades or cylinders, for corrosion, wear, warping, cracks, and leaks, using precision measuring instruments, x-rays, and magnetic inspection equipment.', 'Cure bonded structures, using portable or stationary curing equipment.', 'Listen to operating engines to detect and diagnose malfunctions, such as sticking or burned valves.', 'Clean engines, sediment bulk and screens, and carburetors, adjusting carburetor float levels.', 'Determine repair limits for engine hot section parts.', 'Remove, inspect, repair, and install in-flight refueling stores and external fuel tanks.', 'Prepare and paint aircraft surfaces.']"
"Aircraft Service Attendants 
53-6032.00



",https://www.onetonline.org/link/summary/53-6032.00,"['Apply de-icing fluid to aircraft from baskets lifted by truck-mounted cranes.', 'Change aircraft oil, coolant, or other fluids.', 'Clean aircraft interiors by picking up waste, wiping down windows, or vacuuming.', 'Climb ladders to reach aircraft surfaces to be cleaned.', 'Complete forms describing tasks completed.', 'De-grease aircraft exteriors.', 'Empty aircraft lavatory systems or refill them with sanitizer fluid.', 'Guide aircraft to designated areas using hand signals, batons, or other methods.', 'Inspect aircraft components to locate cracks, breaks, leaks, or other problems.', 'Load baggage or cargo for crew or passengers.', 'Mix cleaning compounds or solutions.', 'Polish aircraft exteriors.', 'Radio to flight dispatchers or other personnel to discuss incoming or outgoing aircraft.', 'Refill aircraft potable water tanks.', 'Refuel aircraft using hoses connected to fuel trucks.', 'Remove exhaust stains from aircraft using cleaning fluids.', 'Tow aircraft to gates or hangars using tugs, tractors, or other vehicles.', 'Wash the aircraft exteriors using lifts, cranes, detergent, or other equipment.']"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers 
51-2011.00

",https://www.onetonline.org/link/summary/51-2011.00,"['Assemble parts, fittings, or subassemblies on aircraft, using layout tools, hand tools, power tools, or fasteners, such as bolts, screws, rivets, or clamps.', 'Read blueprints, illustrations, or specifications to determine layouts, sequences of operations, or identities or relationships of parts.', 'Attach brackets, hinges, or clips to secure or support components or subassemblies, using bolts, screws, rivets, chemical bonding, or welding.', 'Inspect or test installed units, parts, systems, or assemblies for fit, alignment, performance, defects, or compliance with standards, using measuring instruments or test equipment.', 'Adjust, repair, rework, or replace parts or assemblies to ensure proper operation.', 'Cut, trim, file, bend, or smooth parts to ensure proper fit and clearance.', 'Fabricate parts needed for assembly or installation, using shop machinery or equipment.', 'Layout and mark reference points and locations for installation of parts or components, using jigs, templates, or measuring and marking instruments.', 'Clean, oil, or coat system components, as necessary, before assembly or attachment.', 'Assemble prefabricated parts to form subassemblies.', 'Set, align, adjust, or synchronize aircraft armament or rigging or control system components to established tolerances or requirements, using sighting devices and hand tools.', 'Join structural assemblies, such as wings, tails, or fuselage.', 'Position and align subassemblies in jigs or fixtures, using measuring instruments and following blueprint lines and index points.', 'Assemble prototypes or integrated-technology demonstrators of new or emerging environmental technologies for aircraft.', 'Manually install structural assemblies or signal crane operators to position assemblies for joining.', 'Align, fit, assemble, connect, or install system components, using jigs, fixtures, measuring instruments, hand tools, or power tools.', 'Set up or operate machines or systems to crimp, cut, bend, form, swage, flare, bead, burr, or straighten tubing, according to specifications.', 'Place and connect control cables to electronically controlled units, using hand tools, ring locks, cotter keys, threaded connectors, turnbuckles, or related devices.', 'Install mechanical linkages and actuators, using tensiometers to verify tension of cables.', 'Clean aircraft structures, parts, or components, using aqueous, semi-aqueous, aliphatic hydrocarbon, or organic solvent cleaning products or techniques to reduce carbon or other harmful emissions.', 'Install accessories in swaging machines, using hand tools.', 'Mark identifying information on tubing or cable assemblies, using etching devices, labels, rubber stamps, or other methods.', 'Verify dimensions of cable assemblies or positions of fittings, using measuring instruments.', 'Weld tubing and fittings or solder cable ends, using tack welders, induction brazing chambers, or other equipment.', 'Fit and fasten sheet metal coverings to surface areas or other sections of aircraft prior to welding or riveting.', 'Capture or segregate waste material, such as aluminum swarf, machine cutting fluid, or solvents, for recycling or environmentally responsible disposal.', 'Cut cables and tubing, using master templates, measuring instruments, and cable cutters or saws.']"
"Airfield Operations Specialists 
53-2022.00



",https://www.onetonline.org/link/summary/53-2022.00,"['Inspect airfield conditions to ensure compliance with federal regulatory requirements.', 'Implement airfield safety procedures to ensure a safe operating environment for personnel and aircraft operation.', 'Conduct inspections of the airport property and perimeter to maintain controlled access to airfields.', 'Assist in responding to aircraft and medical emergencies.', 'Initiate or conduct airport-wide coordination of snow removal on runways and taxiways.', 'Manage wildlife on and around airport grounds.', 'Coordinate communications between air traffic control and maintenance personnel.', 'Perform and supervise airfield management activities, including mobile airfield management functions.', 'Plan and coordinate airfield construction.', 'Monitor the arrival, parking, refueling, loading, and departure of all aircraft.', 'Train operations staff.', 'Coordinate with agencies, such as air traffic control, civil engineers, or command posts, to ensure support of airfield management activities.', 'Relay departure, arrival, delay, aircraft and airfield status, and other pertinent information to upline controlling agencies.', 'Provide aircrews with information and services needed for airfield management and flight planning.', 'Coordinate with agencies to meet aircrew requirements for billeting, messing, refueling, ground transportation, and transient aircraft maintenance.', 'Use airfield landing and navigational aids and digital data terminal communications equipment to perform duties.', 'Receive, transmit, and control message traffic.', 'Maintain air-to-ground and point-to-point radio contact with aircraft commanders.', 'Procure, produce, and provide information on the safe operation of aircraft, such as flight planning publications, operations publications, charts and maps, or weather information.', 'Anticipate aircraft equipment needs for air evacuation and cargo flights.', 'Post visual display boards and status boards.', 'Receive and post weather information and flight plan data, such as air routes or arrival and departure times.', 'Conduct departure and arrival briefings.', 'Collaborate with others to plan flight schedules and air crew assignments.', 'Maintain flight and event logs, air crew flying records, and flight operations records of incoming and outgoing flights.', 'Coordinate changes to flight itineraries with appropriate Air Traffic Control (ATC) agencies.', 'Check military flight plans with civilian agencies.']"
"Airline Pilots, Copilots, and Flight Engineers 
53-2011.00

",https://www.onetonline.org/link/summary/53-2011.00,"['Use instrumentation to guide flights when visibility is poor.', 'Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight, adhering to flight plans, regulations, and procedures.', 'Work as part of a flight team with other crew members, especially during takeoffs and landings.', 'Respond to and report in-flight emergencies and malfunctions.', 'Inspect aircraft for defects and malfunctions, according to pre-flight checklists.', 'Contact control towers for takeoff clearances, arrival instructions, and other information, using radio equipment.', 'Monitor engine operation, fuel consumption, and functioning of aircraft systems during flights.', 'Monitor gauges, warning devices, and control panels to verify aircraft performance and to regulate engine speed.', 'Steer aircraft along planned routes, using autopilot and flight management computers.', 'Check passenger and cargo distributions and fuel amounts to ensure that weight and balance specifications are met.', 'Confer with flight dispatchers and weather forecasters to keep abreast of flight conditions.', 'Order changes in fuel supplies, loads, routes, or schedules to ensure safety of flights.', 'Brief crews about flight details, such as destinations, duties, and responsibilities.', 'Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.', 'Direct activities of aircraft crews during flights.', 'Record in log books information, such as flight times, distances flown, and fuel consumption.', 'Instruct other pilots and student pilots in aircraft operations and the principles of flight.', 'Make announcements regarding flights, using public address systems.', 'Coordinate flight activities with ground crews and air traffic control and inform crew members of flight and test procedures.', 'Conduct in-flight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems.', 'File instrument flight plans with air traffic control to ensure that flights are coordinated with other air traffic.', 'Perform minor maintenance work, or arrange for major maintenance.', 'Evaluate other pilots or pilot-license applicants for proficiency.', 'Plan and formulate flight activities and test schedules and prepare flight evaluation reports.']"
