,Combined Occupation,Best Match in Exposure Scores,Similarity Score
66,Software quality assurance analysts and testers,Software Quality Assurance Analysts and Testers,1.0
67,Web developers,Web Developers,1.0000000000000002
68,Web and digital interface designers,Web Administrators,0.3531602668650403
69,Computer support specialists,Computer Network Support Specialists,0.801152998211987
70,Database administrators and architects,Database Administrators,0.8368411745494154
71,Network and computer systems administrators,Network and Computer Systems Administrators,1.0000000000000002
72,Computer network architects,Computer Network Architects,1.0
73,Actuaries,Actuaries,1.0
74,Mathematicians,Mathematicians,1.0
75,Operations research analysts,Operations Research Analysts,1.0
76,Statisticians,Statisticians,1.0
77,Architects except landscape and naval,"Architects, Except Landscape and Naval",1.0
78,Landscape architects,Landscape Architects,1.0000000000000002
79,Surveyors cartographers and photogrammetrists,Cartographers and Photogrammetrists,0.8228126241379894
80,Aerospace engineers,Aerospace Engineers,1.0
81,Agricultural engineers,Agricultural Engineers,1.0000000000000002
82,Bioengineers and biomedical engineers,Bioengineers and Biomedical Engineers,1.0
83,Chemical engineers,Chemical Engineers,1.0
84,Civil engineers,Civil Engineers,1.0
85,Computer hardware engineers,Computer Hardware Engineers,1.0
86,Electrical and electronics engineers,Electrical Engineers,0.7515490803265313
87,Environmental engineers,Environmental Engineers,1.0000000000000002
88,Industrial engineers including health and safety,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.6434148506298756
89,Marine engineers and naval architects,Marine Engineers and Naval Architects,1.0000000000000002
90,Materials engineers,Materials Engineers,1.0
91,Mechanical engineers,Mechanical Engineers,1.0
92,Mining and geological engineers including mining safety engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",1.0
93,Nuclear engineers,Nuclear Engineers,1.0
94,Petroleum engineers,Petroleum Engineers,1.0000000000000002
95,Engineers all other,Sales Engineers,0.39211122589104425
96,Architectural and civil drafters,Architectural and Civil Drafters,1.0
97,Other drafters,Mechanical Drafters,0.594509866100393
98,Electrical and electronic engineering technologists and technicians,Electrical and Electronic Engineering Technologists and Technicians,1.0000000000000002
99,Other engineering technologists and technicians except drafters,Industrial Engineering Technologists and Technicians,0.6152285061808256
100,Surveying and mapping technicians,Surveying and Mapping Technicians,1.0
101,Agricultural and food scientists,Food Scientists and Technologists,0.637855208331819
102,Biological scientists,Biological Technicians,0.6886448989662532
103,Conservation scientists and foresters,Conservation Scientists,0.7399173304552942
104,Medical scientists,"Medical Scientists, Except Epidemiologists",0.5828237945471899
105,Life scientists all other,Animal Scientists,0.3212147287554923
106,Astronomers and physicists,Astronomers,0.6984036707053972
107,Atmospheric and space scientists,Atmospheric and Space Scientists,1.0
108,Chemists and materials scientists,Materials Scientists,0.719391524229903
109,Environmental scientists and specialists including health,"Environmental Scientists and Specialists, Including Health",1.0000000000000002
110,Geoscientists and hydrologists except geographers,"Geoscientists, Except Hydrologists and Geographers",1.0000000000000002
111,Physical scientists all other,Physical Therapists,0.4632431824163994
112,Economists,Economists,1.0
113,Survey researchers,Survey Researchers,1.0000000000000002
114,Clinical and counseling psychologists,Clinical and Counseling Psychologists,1.0000000000000002
115,School psychologists,School Psychologists,1.0
116,Other psychologists,School Psychologists,0.6571423874901519
117,Sociologists,Sociologists,1.0
118,Urban and regional planners,Urban and Regional Planners,1.0000000000000002
119,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
120,Agricultural and food science technicians,Food Science Technicians,0.8367657884266988
121,Biological technicians,Biological Technicians,1.0000000000000002
122,Chemical technicians,Chemical Technicians,1.0000000000000002
123,Environmental science and geoscience technicians,"Environmental Science Teachers, Postsecondary",0.5087123479910666
124,Nuclear technicians,Nuclear Technicians,1.0000000000000002
125,Social science research assistants,Social Science Research Assistants,1.0000000000000002
126,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
127,Occupational health and safety specialists and technicians,Occupational Health and Safety Specialists,0.9393376472826862
128,Substance abuse and behavioral disorder counselors,Substance Abuse and Behavioral Disorder Counselors,1.0
129,Educational guidance and career counselors and advisors,"Educational, Guidance, and Career Counselors and Advisors",1.0
130,Marriage and family therapists,Marriage and Family Therapists,1.0000000000000002
131,Mental health counselors,Mental Health Counselors,1.0
132,Rehabilitation counselors,Rehabilitation Counselors,1.0
133,Counselors all other,Credit Counselors,0.5060871932773584
134,Child family and school social workers,"Child, Family, and School Social Workers",1.0000000000000002
135,Healthcare social workers,Healthcare Social Workers,1.0000000000000002
136,Mental health and substance abuse social workers,Mental Health and Substance Abuse Social Workers,1.0
137,Social workers all other,Healthcare Social Workers,0.48639868886247145
138,Probation officers and correctional treatment specialists,Probation Officers and Correctional Treatment Specialists,1.0000000000000002
139,Social and human service assistants,Social and Human Service Assistants,1.0000000000000002
140,Other community and social service specialists,Social and Community Service Managers,0.777845940392573
141,Clergy,Clergy,1.0
142,Directors religious activities and education,"Directors, Religious Activities and Education",1.0
143,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
144,Lawyers,Lawyers,1.0
145,Judicial law clerks,Judicial Law Clerks,1.0000000000000002
146,Judges magistrates and other judicial workers,"Judges, Magistrate Judges, and Magistrates",0.6490951958508347
147,Paralegals and legal assistants,Paralegals and Legal Assistants,1.0000000000000002
148,Title examiners abstractors and searchers,"Title Examiners, Abstractors, and Searchers",1.0
149,Legal support workers all other,Paralegals and Legal Assistants,0.3476606946283765
150,Postsecondary teachers,"Education Teachers, Postsecondary",0.8058568897882079
151,Preschool and kindergarten teachers,"Special Education Teachers, Preschool",0.5352483629376134
152,Elementary and middle school teachers,"Special Education Teachers, Middle School",0.6270104994319234
153,Secondary school teachers,"Special Education Teachers, Secondary School",0.7635691318379477
154,Special education teachers,"Special Education Teachers, Preschool",0.8218997345797203
155,Tutors,Tutors,1.0
156,Other teachers and instructors,"Nursing Instructors and Teachers, Postsecondary",0.630339662652457
157,Archivists curators and museum technicians,Curators,0.5469498158392657
158,Librarians and media collections specialists,Librarians and Media Collections Specialists,1.0000000000000004
159,Library technicians,Library Technicians,1.0
160,Teaching assistants,"Teaching Assistants, Postsecondary",0.8387003879557965
161,Other educational instruction and library workers,Library Technicians,0.38692021989553205
162,Artists and related workers,Craft Artists,0.4313291677916558
163,Commercial and industrial designers,Commercial and Industrial Designers,1.0
164,Fashion designers,Fashion Designers,1.0
165,Floral designers,Floral Designers,1.0
166,Graphic designers,Graphic Designers,1.0
167,Interior designers,Interior Designers,1.0
168,Merchandise displayers and window trimmers,Merchandise Displayers and Window Trimmers,1.0000000000000002
169,Other designers,Graphic Designers,0.515733873001284
170,Actors,Actors,1.0
171,Producers and directors,Producers and Directors,1.0
172,Athletes and sports competitors,Athletes and Sports Competitors,1.0000000000000002
173,Coaches and scouts,Coaches and Scouts,1.0
174,Umpires referees and other sports officials,"Umpires, Referees, and Other Sports Officials",1.0000000000000002
175,Dancers and choreographers,Choreographers,0.6984036707053972
176,Music directors and composers,Music Directors and Composers,1.0000000000000002
177,Musicians and singers,Musicians and Singers,1.0
178,Disc jockeys except radio,Broadcast Announcers and Radio Disc Jockeys,0.7247554876014095
179,Broadcast announcers and radio disc jockeys,Broadcast Announcers and Radio Disc Jockeys,1.0000000000000002
180,News analysts reporters and journalists,"News Analysts, Reporters, and Journalists",0.9999999999999998
181,Public relations specialists,Public Relations Specialists,1.0
182,Editors,Editors,1.0
183,Technical writers,Technical Writers,1.0000000000000002
184,Writers and authors,Writers and Authors,1.0
185,Interpreters and translators,Interpreters and Translators,1.0000000000000002
186,Court reporters and simultaneous captioners,Court Reporters and Simultaneous Captioners,1.0
187,Media and communication workers all other,Media Technical Directors/Managers,0.30577552494896343
188,Broadcast sound and lighting technicians,Broadcast Technicians,0.584840502593329
189,Photographers,Photographers,1.0
190,Television video and film camera operators and editors,"Camera Operators, Television, Video, and Film",0.9134878564191935
191,Chiropractors,Chiropractors,1.0
192,Dentists,"Dentists, General",0.7639215032757366
193,Dietitians and nutritionists,Dietitians and Nutritionists,1.0
194,Optometrists,Optometrists,1.0
195,Pharmacists,Pharmacists,1.0
196,Emergency medicine physicians,Sports Medicine Physicians,0.6969310411869302
197,Radiologists,Radiologists,1.0
198,Other physicians,"Physicians, Pathologists",0.5966820178543546
199,Surgeons,Oral and Maxillofacial Surgeons,0.4902598206633145
200,Physician assistants,Physician Assistants,1.0
201,Podiatrists,Podiatrists,1.0
202,Audiologists,Audiologists,1.0
203,Occupational therapists,Occupational Therapists,1.0
204,Physical therapists,Physical Therapists,1.0
205,Radiation therapists,Radiation Therapists,1.0
206,Recreational therapists,Recreational Therapists,0.9999999999999998
207,Respiratory therapists,Respiratory Therapists,1.0
208,Speechlanguage pathologists,"Physicians, Pathologists",0.5126559254429967
209,Exercise physiologists,Exercise Physiologists,1.0
210,Therapists all other,Physical Therapists,0.45992982661270304
211,Veterinarians,Veterinarians,1.0
212,Registered nurses,Registered Nurses,1.0
213,Nurse anesthetists,Nurse Anesthetists,1.0
214,Nurse midwives,Nurse Midwives,1.0000000000000002
215,Nurse practitioners,Nurse Practitioners,1.0
216,Acupuncturists,Acupuncturists,1.0
217,Healthcare diagnosing or treating practitioners all other,Healthcare Social Workers,0.3003813879322077
218,Clinical laboratory technologists and technicians,Medical and Clinical Laboratory Technologists,0.8505418455482474
219,Dental hygienists,Dental Hygienists,1.0
220,Cardiovascular technologists and technicians,Cardiovascular Technologists and Technicians,1.0
221,Diagnostic medical sonographers,Diagnostic Medical Sonographers,1.0
222,Radiologic technologists and technicians,Radiologic Technologists and Technicians,1.0
223,Magnetic resonance imaging technologists,Magnetic Resonance Imaging Technologists,1.0
224,Nuclear medicine technologists and medical dosimetrists,Nuclear Medicine Technologists,0.7521398054863546
225,Emergency medical technicians,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.6123534891553035
226,Pharmacy technicians,Pharmacy Technicians,1.0
227,Psychiatric technicians,Psychiatric Technicians,1.0
228,Surgical technologists,Surgical Technologists,1.0
229,Veterinary technologists and technicians,Veterinary Technologists and Technicians,1.0000000000000002
230,Dietetic technicians and ophthalmic medical technicians,Ophthalmic Medical Technicians,0.778011401700242
231,Licensed practical and licensed vocational nurses,Licensed Practical and Licensed Vocational Nurses,1.0000000000000002
232,Medical records specialists,Police Identification and Records Officers,0.3782086225236512
233,Opticians dispensing,"Opticians, Dispensing",1.0000000000000002
234,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
235,Home health aides,Home Health Aides,1.0000000000000002
236,Personal care aides,Personal Care Aides,1.0000000000000002
237,Nursing assistants,Nursing Assistants,1.0000000000000002
238,Orderlies and psychiatric aides,Psychiatric Aides,0.738118748977395
239,Occupational therapy assistants and aides,Occupational Therapy Aides,0.9170892023304107
240,Physical therapist assistants and aides,Physical Therapist Aides,0.9124908152700336
241,Massage therapists,Massage Therapists,1.0
242,Dental assistants,Dental Assistants,1.0
243,Medical assistants,Medical Assistants,1.0
244,Medical transcriptionists,Medical Transcriptionists,1.0000000000000002
245,Pharmacy aides,Pharmacy Aides,1.0
246,Veterinary assistants and laboratory animal caretakers,Veterinary Assistants and Laboratory Animal Caretakers,1.0
247,Phlebotomists,Phlebotomists,1.0
248,Other healthcare support workers,Healthcare Social Workers,0.6027938983981282
249,Firstline supervisors of correctional officers,First-Line Supervisors of Correctional Officers,0.677469596185029
250,Firstline supervisors of police and detectives,First-Line Supervisors of Police and Detectives,0.6987907281475497
251,Firstline supervisors of firefighting and prevention workers,First-Line Supervisors of Firefighting and Prevention Workers,0.7581279766152297
252,Firstline supervisors of security workers,Security Guards,0.3824983996566702
253,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
254,Firefighters,Firefighters,1.0
255,Fire inspectors,Fire Inspectors and Investigators,0.7962110761832079
256,Bailiffs,Bailiffs,1.0
257,Correctional officers and jailers,Correctional Officers and Jailers,1.0
258,Detectives and criminal investigators,Detectives and Criminal Investigators,1.0000000000000002
259,Fish and game wardens,Fish and Game Wardens,1.0
260,Parking enforcement workers,Parking Enforcement Workers,1.0000000000000002
261,Police officers,Police and Sheriff's Patrol Officers,0.5822520919357164
262,Animal control workers,Animal Control Workers,1.0
263,Private detectives and investigators,Private Detectives and Investigators,1.0000000000000002
264,Security guards and gambling surveillance officers,Gambling Surveillance Officers and Gambling Investigators,0.6967874882664408
265,Crossing guards and flaggers,Crossing Guards and Flaggers,1.0
266,Transportation security screeners,Transportation Security Screeners,1.0000000000000002
267,School bus monitors,School Psychologists,0.3293755674784446
268,Other protective service workers,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.5043820455799014
269,Chefs and head cooks,Chefs and Head Cooks,1.0000000000000002
270,Firstline supervisors of food preparation and serving workers,First-Line Supervisors of Food Preparation and Serving Workers,0.7461088174818412
271,Cooks,"Cooks, Restaurant",0.6703386459144159
272,Food preparation workers,Food Preparation Workers,1.0000000000000002
273,Bartenders,Bartenders,1.0
274,Fast food and counter workers,Fast Food and Counter Workers,1.0
275,Waiters and waitresses,Waiters and Waitresses,1.0
276,Food servers nonrestaurant,"Food Servers, Nonrestaurant",1.0000000000000002
277,Dining room and cafeteria attendants and bartender helpers,Dining Room and Cafeteria Attendants and Bartender Helpers,1.0
278,Dishwashers,Dishwashers,1.0
279,Hosts and hostesses restaurant lounge and coffee shop,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.0000000000000002
280,Food preparation and serving related workers all other,Food Preparation Workers,0.641518932223655
281,Firstline supervisors of housekeeping and janitorial workers,First-Line Supervisors of Housekeeping and Janitorial Workers,0.7393313056656927
282,Firstline supervisors of landscaping lawn service and groundskeeping workers,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.8056329889631354
283,Janitors and building cleaners,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.6324968620562944
284,Maids and housekeeping cleaners,Maids and Housekeeping Cleaners,1.0000000000000004
285,Pest control workers,Pest Control Workers,1.0
286,Landscaping and groundskeeping workers,Landscaping and Groundskeeping Workers,1.0
287,Tree trimmers and pruners,Tree Trimmers and Pruners,1.0
288,Other grounds maintenance workers,"Maintenance Workers, Machinery",0.40268687081442917
289,Supervisors of personal care and service workers,First-Line Supervisors of Personal Service Workers,0.608587426793046
290,Animal trainers,Animal Trainers,1.0
291,Animal caretakers,Animal Caretakers,1.0000000000000002
292,Gambling services workers,First-Line Supervisors of Gambling Services Workers,0.6379665698994053
293,Ushers lobby attendants and ticket takers,"Ushers, Lobby Attendants, and Ticket Takers",1.0
294,Embalmers crematory operators and funeral attendants,Funeral Attendants,0.5715947160370813
295,Morticians undertakers and funeral arrangers,"Morticians, Undertakers, and Funeral Arrangers",1.0000000000000002
296,Barbers,Barbers,1.0
297,Hairdressers hairstylists and cosmetologists,"Hairdressers, Hairstylists, and Cosmetologists",1.0
298,Manicurists and pedicurists,Manicurists and Pedicurists,1.0000000000000002
299,Skincare specialists,Skincare Specialists,1.0000000000000002
300,Other personal appearance workers,Personal Financial Advisors,0.30732936819011875
301,Baggage porters bellhops and concierges,Baggage Porters and Bellhops,0.8678110098404347
302,Tour and travel guides,Travel Guides,0.7849277740067981
303,Childcare workers,Childcare Workers,1.0000000000000002
304,Exercise trainers and group fitness instructors,Exercise Trainers and Group Fitness Instructors,1.0000000000000002
305,Recreation workers,Recreation Workers,1.0000000000000002
306,Residential advisors,Residential Advisors,1.0
307,Personal care and service workers all other,Personal Care Aides,0.6169466130451233
308,FirstLine supervisors of retail sales workers,First-Line Supervisors of Retail Sales Workers,0.6759142113836542
309,FirstLine supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
310,Cashiers,Cashiers,1.0
311,Counter and rental clerks,Counter and Rental Clerks,1.0
312,Parts salespersons,Parts Salespersons,1.0
313,Retail salespersons,Retail Salespersons,1.0000000000000002
314,Advertising sales agents,Advertising Sales Agents,1.0000000000000002
315,Insurance sales agents,Insurance Sales Agents,1.0000000000000004
316,Securities commodities and financial services sales agents,"Securities, Commodities, and Financial Services Sales Agents",1.0000000000000002
317,Travel agents,Travel Agents,1.0
318,Sales representatives of services except advertising insurance financial services and travel,"Securities, Commodities, and Financial Services Sales Agents",0.4203369981707594
319,Sales representatives wholesale and manufacturing,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.7051935148781835
320,Models demonstrators and product promoters,Demonstrators and Product Promoters,0.8670354013856145
321,Real estate brokers and sales agents,Real Estate Brokers,0.849729864537018
322,Sales engineers,Sales Engineers,1.0
323,Telemarketers,Telemarketers,1.0
324,Doortodoor sales workers news and street vendors and related workers,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.5713182856788088
325,Sales and related workers all other,Sales Managers,0.39624120503679106
326,FirstLine supervisors of office and administrative support workers,First-Line Supervisors of Office and Administrative Support Workers,0.7406978578530983
327,Switchboard operators including answering service,"Switchboard Operators, Including Answering Service",1.0
328,Telephone operators,Telephone Operators,1.0
329,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
330,Bill and account collectors,Bill and Account Collectors,1.0000000000000002
331,Billing and posting clerks,Billing and Posting Clerks,1.0
332,Bookkeeping accounting and auditing clerks,"Bookkeeping, Accounting, and Auditing Clerks",1.0
333,Gambling cage workers,Gambling Cage Workers,1.0
334,Payroll and timekeeping clerks,Payroll and Timekeeping Clerks,1.0
335,Procurement clerks,Procurement Clerks,1.0
336,Tellers,Tellers,1.0
337,Financial clerks all other,Financial Managers,0.49231840009766253
338,Brokerage clerks,Brokerage Clerks,1.0
339,Correspondence clerks,Correspondence Clerks,1.0
340,Court municipal and license clerks,"Court, Municipal, and License Clerks",1.0
341,Credit authorizers checkers and clerks,"Credit Authorizers, Checkers, and Clerks",1.0
342,Customer service representatives,Customer Service Representatives,1.0
343,Eligibility interviewers government programs,"Eligibility Interviewers, Government Programs",1.0000000000000002
344,File clerks,File Clerks,1.0
345,Hotel motel and resort desk clerks,"Hotel, Motel, and Resort Desk Clerks",1.0
346,Interviewers except eligibility and loan,"Interviewers, Except Eligibility and Loan",1.0
347,Library assistants clerical,"Library Assistants, Clerical",1.0000000000000002
348,Loan interviewers and clerks,Loan Interviewers and Clerks,1.0000000000000002
349,New accounts clerks,New Accounts Clerks,1.0
350,Order clerks,Order Clerks,1.0
351,Human resources assistants except payroll and timekeeping,"Human Resources Assistants, Except Payroll and Timekeeping",1.0000000000000002
352,Receptionists and information clerks,Receptionists and Information Clerks,1.0
353,Reservation and transportation ticket agents and travel clerks,Reservation and Transportation Ticket Agents and Travel Clerks,1.0000000000000002
354,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
355,Cargo and freight agents,Cargo and Freight Agents,1.0000000000000002
356,Couriers and messengers,Couriers and Messengers,1.0
357,Public safety telecommunicators,Public Safety Telecommunicators,1.0000000000000002
358,Dispatchers except police fire and ambulance,"Dispatchers, Except Police, Fire, and Ambulance",1.0
359,Meter readers utilities,"Meter Readers, Utilities",1.0
360,Postal service clerks,Postal Service Clerks,1.0
361,Postal service mail carriers,Postal Service Mail Carriers,1.0000000000000002
362,Postal service mail sorters processors and processing machine operators,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1.0000000000000002
363,Production planning and expediting clerks,"Production, Planning, and Expediting Clerks",1.0000000000000002
364,Shipping receiving and inventory clerks,"Shipping, Receiving, and Inventory Clerks",1.0000000000000002
365,Weighers measurers checkers and samplers recordkeeping,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1.0
366,Executive secretaries and executive administrative assistants,Executive Secretaries and Executive Administrative Assistants,1.0
367,Legal secretaries and administrative assistants,Legal Secretaries and Administrative Assistants,1.0000000000000002
368,Medical secretaries and administrative assistants,Medical Secretaries and Administrative Assistants,1.0000000000000004
369,Secretaries and administrative assistants except legal medical and executive,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.0
370,Data entry keyers,Data Entry Keyers,1.0
371,Word processors and typists,Word Processors and Typists,1.0
372,Desktop publishers,Desktop Publishers,1.0000000000000002
373,Insurance claims and policy processing clerks,Insurance Claims and Policy Processing Clerks,1.0000000000000002
374,Mail clerks and mail machine operators except postal service,"Mail Clerks and Mail Machine Operators, Except Postal Service",1.0000000000000004
375,Office clerks general,"Office Clerks, General",1.0000000000000002
376,Office machine operators except computer,"Office Machine Operators, Except Computer",1.0
377,Proofreaders and copy markers,Proofreaders and Copy Markers,1.0
378,Statistical assistants,Statistical Assistants,1.0
379,Office and administrative support workers all other,First-Line Supervisors of Office and Administrative Support Workers,0.5979761696000772
380,Firstline supervisors of farming fishing and forestry workers,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.7917824067710512
381,Agricultural inspectors,Agricultural Inspectors,1.0000000000000002
382,Animal breeders,Animal Breeders,1.0
383,Graders and sorters agricultural products,"Graders and Sorters, Agricultural Products",1.0
384,Miscellaneous agricultural workers,Agricultural Technicians,0.5531432166661375
385,Fishing and hunting workers,Fishing and Hunting Workers,1.0000000000000002
386,Forest and conservation workers,Forest and Conservation Workers,1.0000000000000002
387,Logging workers,Logging Equipment Operators,0.7338661946344187
388,Firstline supervisors of construction trades and extraction workers,First-Line Supervisors of Construction Trades and Extraction Workers,0.76268984875687
389,Boilermakers,Boilermakers,1.0
390,Brickmasons blockmasons and stonemasons,Brickmasons and Blockmasons,0.8185632097598105
391,Carpenters,Carpenters,1.0
392,Carpet floor and tile installers and finishers,Carpet Installers,0.5797969793488761
393,Cement masons concrete finishers and terrazzo workers,Cement Masons and Concrete Finishers,0.8689855530557271
394,Construction laborers,Construction Laborers,1.0
395,Construction equipment operators,Operating Engineers and Other Construction Equipment Operators,0.6550386967653619
396,Drywall installers ceiling tile installers and tapers,Drywall and Ceiling Tile Installers,0.8685748391172605
397,Electricians,Electricians,1.0
398,Glaziers,Glaziers,1.0
399,Insulation workers,"Insulation Workers, Mechanical",0.7490665869864548
400,Painters and paperhangers,Paperhangers,0.7017374528769001
401,Pipelayers,Pipelayers,1.0
402,Plumbers pipefitters and steamfitters,"Plumbers, Pipefitters, and Steamfitters",1.0000000000000002
403,Plasterers and stucco masons,Plasterers and Stucco Masons,1.0
404,Reinforcing iron and rebar workers,Reinforcing Iron and Rebar Workers,1.0
405,Roofers,Roofers,1.0
406,Sheet metal workers,Sheet Metal Workers,1.0
407,Structural iron and steel workers,Structural Iron and Steel Workers,1.0000000000000002
408,Solar photovoltaic installers,Solar Photovoltaic Installers,1.0
409,Helpers construction trades,First-Line Supervisors of Construction Trades and Extraction Workers,0.42993882598313016
410,Construction and building inspectors,Construction and Building Inspectors,1.0000000000000004
411,Elevator and escalator installers and repairers,Elevator and Escalator Installers and Repairers,1.0
412,Fence erectors,Fence Erectors,1.0000000000000002
413,Hazardous materials removal workers,Hazardous Materials Removal Workers,1.0000000000000002
414,Highway maintenance workers,Highway Maintenance Workers,1.0000000000000002
415,Railtrack laying and maintenance equipment operators,Rail-Track Laying and Maintenance Equipment Operators,0.5936559853373982
416,Septic tank servicers and sewer pipe cleaners,Septic Tank Servicers and Sewer Pipe Cleaners,1.0
417,Miscellaneous construction and related workers,Construction Managers,0.45494861804421866
418,Derrick rotary drill and service unit operators oil and gas,"Rotary Drill Operators, Oil and Gas",0.7825297272198106
419,Excavating and loading machine and dragline operators surface mining,"Excavating and Loading Machine and Dragline Operators, Surface Mining",1.0000000000000002
420,Earth drillers except oil and gas,"Earth Drillers, Except Oil and Gas",1.0000000000000004
421,Explosives workers ordnance handling experts and blasters,"Explosives Workers, Ordnance Handling Experts, and Blasters",1.0
422,Underground mining machine operators,"Loading and Moving Machine Operators, Underground Mining",0.7452564470604915
423,Roustabouts oil and gas,"Roustabouts, Oil and Gas",1.0000000000000002
424,Other extraction workers,Helpers--Extraction Workers,0.6744417938381454
