Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Appraisers and Assessors of Real Estate,"write report, estimate value, meet standard","measure value, meet requirement, compensate value, evaluate value, estimate value, calculate value, determine value, predict value, generate value"
"Directors, Religious Activities and Education","analyze revenue, determine priority","optimize revenue, determine priority, identify priority"
"Insulation Workers, Mechanical","Read blueprint, determine requirement","determine sufficiency, determine registration, determine formulation, determine prescription, determine recommendation, determine preference, determine suitability, ascertain suitability, determine dependency, determine availability, predict requirement, determine liability, determine arrangement, determine hybridisation, determine classification, determine modification, determine measurement, consider requirement, determine requirement, determine application, determine configuration, determine compliance, determine allocation, determine documentation, determine indication, determine proportion, determine adjustment, determine correction, determine assignment, determine substitution, determine comprehensiveness, determine criterion, determine instruction, determine summarization, determine functionality, evaluate requirement, determine identification"
"Special Education Teachers, Secondary School","employ strategy, improve development","improve stimulation, improve achievement, improve optimization, improve application, improve presentation, enhance management, improve adaptation, enhance development, improve reconstruction, improve translation, improve concentration, improve enhancement, improve productivity, improve competency, improve connection, improve functioning, improve interaction, improve capability, improve functionality, facilitate improvement, improve production, improve effectiveness, improve prediction, improve communication, improve operation, improve estimation, improve automation, improve construction, improve management, improve visualization, improve evaluation, improve accessibility, improve understanding, improve engagement, improve placement, improve allocation, improve measurement, improve segmentation, improve recognition, improve connectivity, improve classification, accelerate development, improve interpretation, improve utilization, improve environment, improve intelligibility, improve recommendation, improve provision, improve distribution, improve determination, improve establishment, improve generation"
Wellhead Pumpers,produce oil,"contain oil, detect oil, produce oil, lubricate oil, upgrade oil"
Emergency Management Directors,perform test,"perform test, simulate test, conduct test, facilitate test, execute test, test performance"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",perform maintenance,"perform rehabilitation, perform adjustment, perform aggregation, perform reconstruction, perform management, perform inspection, perform maintenance"
Clinical and Counseling Psychologists,"identify symptom, make diagnosis, develop approach","develop prediction, develop strategy, recognize symptom, develop solution, assess symptom"
Pharmacists,"offer promotion, train people, use device","use mode, use bandwidth, use adaptability, use spreadsheet, use catalyst, use attribute, use circuit, use messenger, use threshold, use feature, use machine, use simulation, use gesture, use utility, use ophthalmoscope, use diffusion, use problem, use mapping, use interval, use computation, use difficulty, use earphone, use concealment, use repetition, use circumstance, use controller, use quantization, use display, use multitude, use identification, use replication, use cluster, use fingerprinting, use element, use credential, use description, use electrocardiogram, use wearable, use proxy, use component, use portal, use workflow, use switching, use quotient, use waveform, use computer, use instance, use electromyography, use pattern, use repository, use spectrometer, use browser, use oscillator, use network, use tracker, use encryption, use system, use absorption, use constraint, use principle, use magnetometer, use parameter, use packaging, use fragment, use processing, use detector, use connectivity, use gradient, use trajectory, use hydrogel, use plurality, use optimization, use indicator, use fluorescence, use generator, use tensor, use container, use microscopy, use conditioning, use screen, use segment, use microscope, use method, use conversion, use robot, use emulation, use tool, use programming, use spectrometry, use bladder, use alignment, use projection, use surface, use chromatography, use ledger, use processor, use patch, use universal, use premise, use oscillation, use appliance, use definition, use compound, use transducer, use detection, use sequence, use content, use grating, use variant, use pipeline, use wallet, use parallelism, use activity, use bottleneck, use authentication, use thermography, use configuration, use framework, use mechanism, use insertion, use inversion, use input, use example, use connection, use correspondence, use tetracycline, use measurement, use spectra, use resonance, use simulator, use timing, utilize device, use stack, use overlay, use electrolysis, use apparatus, use extract, use compression, use navigation, use propagation, use channel, use distillation, use subset, enable use, use automation, use measure, use application, use correction, use internet, use cardiogram, use signature, use shield, use technique, use extractor, use keypad, use transistor, use temperature, use molecule, use sensor, use modality, use depolarization, use manipulator, use technology, offer communication, use platform, use catheter, use hologram, use override, use tomography, use interface, use surveillance, use dispersion, use capability, use algorithm, use positioning, use equipment, use intermediary, use optic, use pulse, use spectrum, use microphone, use characteristic, use filter, use software, use infrastructure, use fingerprint, use accelerometer, use functionality, use comparison, use doppler, use satellite, use routine, use mirror, use protocol, use augmentation, use transmission, use actuator, use coupling, use subsystem, use storage, use decoding, use magnification, use electrode, use prescription, use signal, use provider, use segmentation, use regularization, use scanning, use probability, use differentiator, use output, use marker, use headphone, use telephone, use chip, use solution, use resolution, use spectroscopy, use sensitizer, optimize use, use equilibrium, use subunit, use replacement, use instruction, use vibration, use dimension, use velocity, use cryptography, use recommendation, use hardware, use retrieval, use comprehension, use convolution, use module, use material, use database, use scaling, use procedure, use consistency, use antenna, use terminal, use preference, use adjustment, use propensity, use sensitivity, use gateway, use monitoring, use metric, use interaction, use playback, use sampling, use ethernet, use accelerator, use particle, use receptivity, use tracking, use entropy, use packet, use matrix, use linkage, use metadata, use stub, use device, use template, use camera, use combination, use modulus, use reference, use imaging, use frequency, use specification, use ultrasound, use transformer, use computing, use electroencephalogram, use scheduling, use object, use encoding, use primitive, use priming, use transfer, use server, use variable, use interoperability, use spline, use telemetry, use pharmaceutical, use vehicle, use sensing, use networks, use certificate, use magnet, monitor use, use modulation, use operator, use extraction, use nanotube, use background, use visualization, use automobile, use package, use dynamic, use reinforcement, use transaction, use product, use factorization, use transformation, use reactor, use reset, use balancing, use buffer, use therapeutic, use document, use envelope, use packer, use extension, use kernel, use mobile, use verification, use function, use instrument"
"Nursing Instructors and Teachers, Postsecondary",demonstrate care,"provide care, require care, transition care, quantify care, consider care, facilitate care, teach care, automate care, coordinate care, deliver care, improve care"
Audiologists,"instruct patient, improve hearing, hear loss",hear loss
Automotive Glass Installers and Repairers,"use tool, remove screw, hold glass","use framework, use solution, use resource, use spreadsheet, use device, use template, use platform, use hologram, use method, use component, use interface, use machine, use technique, use workflow, use functionality, use hardware, use capability, use tool, use algorithm, use generator, use module, use strategy, use software"
Tire Builders,determine requirement,"determine sufficiency, determine registration, determine formulation, determine prescription, determine recommendation, determine preference, determine suitability, ascertain suitability, determine dependency, determine availability, predict requirement, determine liability, determine arrangement, determine hybridisation, determine classification, determine modification, determine measurement, consider requirement, determine requirement, determine application, determine configuration, determine compliance, determine allocation, determine documentation, determine indication, determine proportion, determine adjustment, determine correction, determine assignment, determine substitution, determine comprehensiveness, determine criterion, determine instruction, determine summarization, determine functionality, evaluate requirement, determine identification"
"Law Teachers, Postsecondary",read literature,"read understanding, read comprehension"
Executive Secretaries and Executive Administrative Assistants,"analyze memo, determine significance, plan distribution","determine vulnerability, determine impression, determine correlation, determine attribute, determine orientation, determine profitability, determine influence, determine characteristic, determine explanation, determine meaning, determine preference, determine positioning, determine concentration, construct plan, plan generation, determine intention, determine difference, determine dependency, determine variation, plan movement, produce plan, generate plan, determine hybridisation, determine propensity, determine classification, determine causation, characterize plan, determine probability, determine prediction, determine familiarity, determine understanding, determine relevancy, determine viability, plan transmission, determine indication, determine effectiveness, determine relevance, determine proportion, plan conversation, determine physiology, plan trajectory, plan resource, determine reflection, determine comprehensiveness, determine refraction, determine substitution, determine identification, determine progression, plan configuration, plan supply, plan solution, determine representation, determine relation, determine demographic, determine presence, determine statistic, determine involvement, determine potential, determine variability, determine correspondence, determine similarity, determine attribution, determine context"
Aircraft Mechanics and Service Technicians,use clamp,"use linkage, use steering, use putty, use polishing, use shield, use stub, use spreadsheet, use fingerprint, use manipulator, use template, use balancing, use patch, use buffer, use adjustment, use earphone, use plug, use washer, use override, use pillar, use handle, use machine, use envelope, use appliance, use stack, use assembly, use magnet, use switching, use replacement, use antenna, use overlay, use primer, use apparatus, use seam, use clumping, use hardware, use polygon, use mismatch, use transistor, use bladder, use ellipse, use controller, use slider, use mirror, use positioning, use frame, use handler, use insertion, use tiling, use container, use actuator, use scaling, use adder, use bottleneck, use warping, adjust use, use fingerprinting, use coupling, use microphone, use headphone, use spline, use prop, use configuration"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","coordinate training, find opportunity, fulfill requirement","implement training, facilitate training, distribute training, accelerate training, execute training"
Chief Executives,"coordinate activity, fund operation, maximize investment, increase efficiency","communicate activity, increase tolerance, increase accuracy, increase absorption, increase quality, increase specificity, increase conductivity, initiate activity, increase capacity, accelerate throughput, increase efficiency, increase stability, increase rejuvenation, increase variability, increase capability"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","operate equipment, control unit, treat operation, move control, regulate valve","operate appliance, treat formation, control unit, operate equipment, control mover, operate facility, treat degeneration, operate installation, operate machinery"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",use ladle,"use mixture, use slice"
Producers and Directors,"establish pace, set accessibility","set relation, set determination, enhance set, set comparison, identify set, compare set, provide set, set location, set operation, set threshold, improve set, set preference, set variation, set extraction, set relationship, set intersection, generate set, consolidate set, set recommendation, set condition, set creation, set controller, display set, set testing, set distance, set selection, set service, determine set, present set, construct set, set terminal, commingle set, set feature, set section, set adjustment, set target, utilize set, set display, set completion, set translation, set connection, set network, maintain set, define set, set projection, set constraint, set encryption, manage set, set destination, set function, set parameter, set generation, set apparatus, set reasoning, develop set, set migration"
Database Architects,"develop model, describe element, follow procedure, use software","use bandwidth, use adaptability, use spreadsheet, use catalyst, use attribute, use messenger, use feature, use machine, use simulation, use satisfaction, use source, use interpolation, use utility, use ophthalmoscope, use management, use knowledge, use handler, use problem, use mapping, use vocabulary, use computation, use difficulty, use instantiation, use reconnaissance, use earphone, use estimation, model development, use supplementation, use concealment, use repetition, use circumstance, use controller, use quantification, use display, use quantization, use multitude, use identification, use security, reconstruct model, identify use, use replication, use cluster, use fingerprinting, use synchronization, use planner, use credential, use description, use domain, use electrocardiogram, use wearable, use proxy, use variability, use component, use portal, use handle, use workflow, use switching, use quotient, use computer, use instance, use electromyography, use repository, use evaluator, use coherence, use browser, use oscillator, use preview, use network, use tracker, use encryption, use difference, use system, use authorization, use constraint, use imitation, use principle, use statistic, use parameter, use packaging, use processing, use detector, use connectivity, incorporate element, use trajectory, create model, facilitate use, use category, use optimization, modify use, use indicator, use reasoning, use generator, use container, use supervision, use curricula, use microscopy, use conditioning, use segment, use recording, use integration, use microscope, use method, use delivery, quantify use, use conversion, use robot, use emulation, use tool, use programming, use perspective, use alignment, augment model, use projection, use ledger, use processor, use normalization, use universal, use premise, use appliance, use definition, use detection, improve model, use relevance, use content, use grating, use website, use pipeline, use newsletter, use parallelism, use illustration, use bottleneck, use reclassification, use assessment, use authentication, use thermography, use configuration, use framework, use mechanism, use disclosure, use insertion, use inversion, use input, use example, use vocalization, use connection, use correspondence, use tetracycline, use measurement, use resonance, use simulator, use understanding, use timing, use update, use stack, use overlay, use apparatus, use extract, use compression, use architecture, use ordering, use heuristic, use navigation, use propagation, use distillation, use profiling, use subset, enable use, construct model, use automation, use application, use correction, use internet, use communication, use dictionary, use cardiogram, use signature, use compiler, use technique, use guarantee, use biofeedback, use extractor, use keypad, use transistor, use coordinate, use format, use information, use planning, use client, use topology, use warping, use catalog, use modality, use analysis, use manipulator, use technology, use validation, use platform, use catheter, use hologram, use layout, use override, use tomography, use interface, use thesaurus, use classification, use identifier, use surveillance, use library, use capability, use lithography, use graphic, use preparation, use algorithm, use multiple, use highlight, use positioning, use equipment, use intermediary, manage use, use microphone, use characteristic, use mismatch, use software, use infrastructure, use lexicon, use resource, use fingerprint, use blueprint, use coding, use potential, use comparison, use functionality, use doppler, use satellite, use pricing, use variance, use manufacturing, use protocol, use inference, use augmentation, use intelligence, use transmission, use commodity, use subsystem, use storage, use decoding, use magnification, use learning, use prescription, establish model, use provider, use collaboration, use oracle, use segmentation, use regularization, use apprenticeship, use scanning, use strategy, use probability, use differentiator, use headphone, use telephone, incorporate model, use solution, use resolution, use implementation, use sensitizer, optimize use, use prediction, use replacement, use instruction, use dimension, use cryptography, use recommendation, use hardware, use qualification, use profile, use retrieval, transform model, use formulation, use comprehension, use convolution, use module, use material, use database, use scaling, use foresight, use procedure, use logic, use consistency, use provenance, use terminal, use preference, use adjustment, use propensity, use gateway, use monitoring, use conversation, use metric, use interaction, use playback, use sampling, use ethernet, use accelerator, use perforation, use experience, use engineering, identify element, use tracking, use summarization, integrate model, build model, use program, use geometry, introduce model, use metadata, use device, use template, use combination, use modulus, use reference, use imaging, use specification, use ultrasound, use transformer, use user, use computing, develop model, use electroencephalogram, use scheduling, use feedback, use encoding, use primitive, use priming, generate model, use transfer, use server, use concept, use personality, use variable, use guidance, use tending, use consumer, use interoperability, use spline, use cloud, produce model, use exception, use telemetry, use tachograph, use pharmaceutical, use environment, use sensing, use networks, use synthesis, use certificate, monitor use, use approach, use operator, use extraction, use nanotube, use background, use visualization, use automobile, use package, use dynamic, use approximation, use reinforcement, describe component, use recognition, use amplification, use transaction, use product, use factorization, use descriptor, use design, use transformation, use reset, use balancing, use therapeutic, use document, implement model, use construct, use envelope, use commerce, use extension, use localization, use kernel, use mobile, use verification, use substitution, use function, use distribution, use aggregation, use analyzer, use modeling, use process, use evaluation, use access, use instrument"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","hold block, use tool","use framework, use solution, use resource, use spreadsheet, use device, use template, use platform, use hologram, use method, use component, use interface, use machine, use technique, use workflow, use functionality, use hardware, use capability, use tool, use algorithm, use generator, use module, use strategy, use software"
Budget Analysts,provide advice,"provide guidance, provide advice"
Oral and Maxillofacial Surgeons,"treat problem, affect mucosa",treat problem
Security Guards,"warn person, evict violator, use force","use force, use reinforcement"
Network and Computer Systems Administrators,maintain application,"maintain deployment, maintain information, facilitate application, implement application, maintain function, maintain synchronization, provide application, restore application, maintain operation, maintain compatibility, maintain representation, maintain authentication"
Search Marketing Strategists,"optimize tool, track behavior","generate tool, track behavior, attribute tool, initialize tool, integrate tool"
Chief Sustainability Officers,"develop methodology, assess viability","assess readiness, assess reliability, determine profitability, assess persuasiveness, assess productivity, develop pharmaceutical, assess processing, assess complexity, assess biodiversity, ascertain suitability, determine suitability, develop ontology, assess deficiency, assess balance, assess development, assess importance, evaluate reliability, assess technology, assess compliance, assess effectiveness, develop prediction, assess individual, develop application, assess activity, evaluate consumption, assess extraction, evaluate consistency, evaluate satisfaction, assess usability, determine viability, determine effectiveness, evaluate efficiency, assess ability, assess benefit, evaluate effectiveness, assess authenticity, evaluate vulnerability, develop solution, assess performance, evaluate usability, evaluate capability, assess intelligibility, assess stratification, assess capability, assess instability, develop strategy, develop curriculum, assess integrity, assess infertility, assess progression, assess orientation"
Insurance Sales Agents,"offer type, underwrite policy","determine policy, evaluate policy, enforce policy, administer policy, implement policy"
"Pressers, Textile, Garment, and Related Materials","determine size, use press","determine size, equalize size, calculate size, estimate size, use positioning, use correspondence, measure size, maintain size"
Exercise Trainers and Group Fitness Instructors,conduct activity,initiate activity
Agricultural Inspectors,"inspect commodity, log operation, govern health",log operation
Database Architects,"calculate value, use manual","distribute value, use modality, use adaptability, use spreadsheet, convert value, use preference, use adjustment, optimize value, generate value, use hologram, use layout, use catheter, use override, use thesaurus, use interface, use machine, use monitoring, quantify use, use conversion, use assembly, use utility, use capability, use ethernet, use algorithm, use ophthalmoscope, use positioning, use handler, use alignment, use equipment, use intermediary, use mapping, use microphone, use filter, use packet, predict value, use software, use vocabulary, use geometry, use processor, use lexicon, use universal, use metadata, use resource, use stub, use device, use fingerprint, use template, use blueprint, use coding, use modulus, use inspection, use reference, adjust value, use earphone, use specification, use ultrasound, use appliance, use functionality, use comparison, use doppler, identify value, use summary, use supplementation, use repetition, use routine, use electroencephalogram, use scheduling, use controller, use quantization, use manufacturing, use guide, use protocol, use multitude, use encoding, measure value, use augmentation, use transmission, use newsletter, use variable, compensate value, use replication, use authentication, use fingerprinting, use thermography, use interoperability, use spline, use configuration, use framework, use mechanism, use insertion, use credential, use inversion, use input, use decoding, use magnification, use description, use example, use electrocardiogram, analyze value, use tachograph, calculate value, use vehicle, use measurement, assess value, use diagram, use prescription, use timing, use component, use handle, use workflow, use certificate, use switching, use primer, use computer, use extraction, use operator, use instance, use apparatus, use electromyography, use compression, use visualization, use segmentation, use automobile, use regularization, use repository, use navigation, use ordering, use propagation, use package, use apprenticeship, estimate value, use browser, use oscillator, use scanning, use preview, use dynamic, use differentiator, use distillation, use tracker, use encryption, use automation, use application, use headphone, use correction, use product, use factorization, use dictionary, use steering, use signature, use descriptor, correct value, evaluate value, use reset, use balancing, use parameter, use packaging, use document, use processing, optimize use, use washer, use envelope, use packer, use technique, use trajectory, use replacement, use instruction, determine value, facilitate use, use cryptography, use extractor, use recommendation, use hardware, use keypad, use retrieval, use optimization, extract value, modify use, use transistor, use indicator, use verification, use comprehension, use convolution, use generator, use module, use container, use database, use procedure, use conditioning, use topology, use catalog, use consistency, use instrument"
Sailors and Marine Oilers,"wash deck, remove oil, use broom","use modality, use beacon, use bandwidth, use polishing, use adaptability, use spreadsheet, use catalyst, use manipulator, use attribute, use affinity, use preference, use adjustment, use platform, use catheter, use hologram, use layout, use messenger, use taxonomy, use feature, use override, use gateway, use interface, use machine, use dispersal, use thesaurus, quantify use, use conversion, use assembly, use surveillance, use conversation, use library, use occupancy, use pseudo, use utility, use sampling, use cache, use lithography, use ethernet, use ophthalmoscope, use accelerator, use bladder, use slider, use highlight, use frame, use positioning, use handler, use hierarchy, use equipment, use intermediary, use store, use entropy, adjust use, use mapping, use microphone, use characteristic, use filter, use packet, use geometry, use mismatch, use vocabulary, use ledger, use infrastructure, use processor, upgrade oil, use linkage, use lexicon, use patch, use universal, use overlay, use metadata, use premise, use stub, use fingerprint, use blueprint, use template, use combination, use difficulty, use modulus, use reference, use reconnaissance, use earphone, use symmetry, use ultrasound, use transformer, use batch, use appliance, use compound, use functionality, use comparison, use asymmetry, use doppler, use satellite, use concealment, use repetition, use routine, use circumstance, use electroencephalogram, use polygon, use scheduling, use ellipse, use relevance, use controller, use manufacturing, use mirror, use display, use multitude, use primitive, use classifier, use cookie, use priming, use tiling, use window, use pipeline, use transfer, contain oil, use wallet, use canvas, use newsletter, use commodity, use parallelism, use artifact, use bottleneck, use cluster, use authentication, use slice, use fingerprinting, use table, use coupling, use picture, use tending, use interoperability, use spline, use exception, use framework, use mechanism, use storage, use shard, use configuration, use insertion, use credential, use putty, use inversion, use collection, use neighbor, use example, use description, use telemetry, use electrocardiogram, use tachograph, use pegboard, use pharmaceutical, use correspondence, use wearable, use tetracycline, use lattice, use sensing, use resonance, use spelling, use prescription, use component, use handle, use heartbeat, use counter, use workflow, use stack, use magnet, monitor use, use switching, use mixture, use chamber, use marking, use tocopherol, use primer, use computer, produce oil, use instance, use nanotube, use queue, use apparatus, use neighborhood, use electromyography, use compression, use background, use extract, use seam, use pattern, use automobile, use repository, use ordering, use package, use apprenticeship, use coherence, use browser, use oscillator, use scanning, use repertoire, use reinforcement, use differentiator, use abstract, use subset, use adder, use tracker, use encryption, use headphone, use choice, use telephone, use prop, use constraint, use dictionary, use cardiogram, use steering, use signature, use shield, use descriptor, use reagent, use balancing, use parameter, use packaging, use buffer, use therapeutic, use fragment, use palette, use cleaner, optimize use, use texture, use connectivity, use washer, use construct, use pillar, use gradient, use envelope, use equilibrium, use weighting, use technique, use extension, use packer, use trajectory, use guarantee, use replacement, use instruction, use honeypot, use block, use dimension, use drawing, facilitate use, use cryptography, lubricate oil, use clustering, use exercise, use fabric, use kernel, use hardware, use category, use recommendation, use maze, use keypad, use retrieval, use clumping, modify use, use snapshot, use transistor, use indicator, use reasoning, use comprehension, classify use, use glove, use generator, use module, use material, use container, use database, use scaling, use coordinate, use photograph, use conditioning, detect oil, use screen, use topology, use warping, use catalog, use consistency, use instrument, use antenna"
Automotive and Watercraft Service Attendants,"perform repair, adjust brake, replace plug, change oil","lubricate oil, produce oil, upgrade oil"
Web Developers,maintain site,identify site
Audiovisual Equipment Installers and Repairers,"adjust equipment, obtain reception",obtain identification
"Floor Layers, Except Carpet, Wood, and Hard Tiles","determine area, decide location","classify area, generate area, measure area, detect area, identify area, observe area, distinguish area, describe area, recognize area, define area, characterize area, determine area, monitor area"
