Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Other life physical and social science technicians,172353,7273,83706,5029,88647,5727,51.4,2.3,51591,1090,53818,1884,49412,2043,91.8,4.4,2022,0.17891018154679939,other life physical and social science technicians,,,,19-4099,"Life, Physical, and Social Science Technicians, All Other",other life physical and social science technicians,19-4099,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",19-4099,"Life, Physical, and Social Science Technicians, All Other"
Other life physical and social science technicians,172353,7273,83706,5029,88647,5727,51.4,2.3,51591,1090,53818,1884,49412,2043,91.8,4.4,2022,0.17891018154679939,other life physical and social science technicians,,,,19-4099,"Life, Physical, and Social Science Technicians, All Other",other life physical and social science technicians,19-4099,19-4099.01,Quality Control Analysts,19-4099,"Life, Physical, and Social Science Technicians, All Other"
Other life physical and social science technicians,172353,7273,83706,5029,88647,5727,51.4,2.3,51591,1090,53818,1884,49412,2043,91.8,4.4,2022,0.17891018154679939,other life physical and social science technicians,,,,19-4099,"Life, Physical, and Social Science Technicians, All Other",other life physical and social science technicians,19-4099,19-4099.03,Remote Sensing Technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other"
Occupational health and safety specialists and technicians,85580,5424,57163,4306,28417,3193,33.2,3,72787,2057,75724,3432,68057,6607,89.9,9.4,2022,0.057352089,occupational health and safety specialists and technicians,,19-5000,,,Occupational Health and Safety Specialists and Technicians,occupational health and safety specialists and technicians,19-5000,,,,
Occupational health and safety specialists and technicians,85580,5424,57163,4306,28417,3193,33.2,3,72787,2057,75724,3432,68057,6607,89.9,9.4,2022,0.057352089,occupational health and safety specialists and technicians,,,19-5010,,Occupational Health and Safety Specialists and Technicians,occupational health and safety specialists and technicians,19-5010,,,,
Education Legal Community Service Arts and Media Occupations,12252605,68821,4462374,35240,7790231,49826,63.6,0.2,60541,170,70370,439,56064,240,79.7,0.6,2022,15.722490806248429,education legal community service arts and media occupations,,,,,,,,,,,
Community and Social Service Occupations,2106009,25556,729606,14736,1376403,18574,65.4,0.5,54126,326,54946,720,53745,360,97.8,1.4,2022,2.7779001050408847,community and social service occupations,21-0000,,,,Community and Social Service Occupations,community and social service occupations,21-0000,,,,
Substance abuse and behavioral disorder counselors,91092,5582,25245,2742,65847,4443,72.3,2.4,52556,1374,51202,2049,53313,1930,104.1,6,2022,0.13289449980610848,substance abuse and behavioral disorder counselors,,,,21-1011,Substance Abuse and Behavioral Disorder Counselors,substance abuse and behavioral disorder counselors,21-1011,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors
Educational guidance and career counselors and advisors,282549,10178,67892,5037,214657,8723,76,1.5,58798,1042,60070,2613,58479,1164,97.4,4.9,2022,0.4332275524303283,educational guidance and career counselors and advisors,,,,21-1012,"Educational, Guidance, and Career Counselors and Advisors",educational guidance and career counselors and advisors,21-1012,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21-1012,"Educational, Guidance, and Career Counselors and Advisors"
Marriage and family therapists,15121,2189,3679,994,11442,1894,75.7,5.7,61890,6971,61027,18188,62162,7618,(X),(X),2022,0.023092606599867775,marriage and family therapists,,,,21-1013,Marriage and Family Therapists,marriage and family therapists,21-1013,21-1013.00,Marriage and Family Therapists,21-1013,Marriage and Family Therapists
Mental health counselors,118601,6716,29016,3266,89585,5988,75.5,2.5,57030,1918,59080,4175,56376,1891,95.4,6.7,2022,0.18080328283946465,mental health counselors,,,,21-1014,Mental Health Counselors,mental health counselors,21-1014,21-1014.00,Mental Health Counselors,21-1014,Mental Health Counselors
Rehabilitation counselors,17884,2254,5809,1377,12075,1728,67.5,6,57939,9549,63433,14424,56611,6909,(X),(X),2022,0.024370147237668536,rehabilitation counselors,,,,21-1015,Rehabilitation Counselors,rehabilitation counselors,21-1015,21-1015.00,Rehabilitation Counselors,21-1015,Rehabilitation Counselors
Counselors all other,135346,7905,45623,4531,89723,6089,66.3,2.6,51684,1004,56216,3861,50474,1376,89.8,6.5,2022,0.18108179880789516,other counselors,,,,21-1019,"Counselors, All Other",other counselors,21-1019,21-1019.00,"Counselors, All Other",21-1019,"Counselors, All Other"
Child family and school social workers,68385,4953,11440,1979,56945,4713,83.3,2.7,50975,1805,53292,9899,50657,1752,95.1,16.4,2022,0.1149282016106861,child family and school social workers,,,,21-1021,"Child, Family, and School Social Workers",child family and school social workers,21-1021,21-1021.00,"Child, Family, and School Social Workers",21-1021,"Child, Family, and School Social Workers"
Healthcare social workers,68726,4943,13559,2037,55167,4782,80.3,2.9,56461,1856,55330,3173,56811,2213,102.7,7.2,2022,0.11133978572757433,healthcare social workers,,,,21-1022,Healthcare Social Workers,healthcare social workers,21-1022,21-1022.00,Healthcare Social Workers,21-1022,Healthcare Social Workers
Mental health and substance abuse social workers,29135,3504,4073,1125,25062,3307,86,3.7,63678,5487,66049,11651,63399,5246,(X),(X),2022,0.050580922,mental health and substance abuse social workers,,,,21-1023,Mental Health and Substance Abuse Social Workers,mental health and substance abuse social workers,21-1023,21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023,Mental Health and Substance Abuse Social Workers
Social workers all other,481554,13647,78305,5141,403249,11962,83.7,0.9,57061,723,58100,2057,56833,851,97.8,3.8,2022,0.8138498967654326,other social workers,,,,21-1029,"Social Workers, All Other",other social workers,21-1029,21-1029.00,"Social Workers, All Other",21-1029,"Social Workers, All Other"
Probation officers and correctional treatment specialists,71868,4741,30331,3001,41537,3623,57.8,3.2,59320,1895,63247,4163,58035,1904,91.8,6.9,2022,0.083831288,probation officers and correctional treatment specialists,,,,21-1092,Probation Officers and Correctional Treatment Specialists,probation officers and correctional treatment specialists,21-1092,21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092,Probation Officers and Correctional Treatment Specialists
Social and human service assistants,184923,8270,42545,3827,142378,7297,77,1.8,44409,894,47519,3214,43698,1074,92,6.9,2022,0.2873517866173723,social and human service assistants,,,,21-1093,Social and Human Service Assistants,social and human service assistants,21-1093,21-1093.00,Social and Human Service Assistants,21-1093,Social and Human Service Assistants
Other community and social service specialists,84475,5383,25171,2726,59304,4909,70.2,3,52913,1930,61299,3023,50408,2398,82.2,5.9,2022,0.11968921008552336,other community and social service specialists,,,,21-1099,"Community and Social Service Specialists, All Other",other community and social service specialists,21-1099,21-1099.00,"Community and Social Service Specialists, All Other",21-1099,"Community and Social Service Specialists, All Other"
Clergy,357534,10960,303616,10318,53918,3682,15.1,1,52534,891,52968,1088,50724,1652,95.8,3.8,2022,0.1088190143901128,clergy,,,21-2010,,Clergy,clergy,21-2010,,,,
Clergy,357534,10960,303616,10318,53918,3682,15.1,1,52534,891,52968,1088,50724,1652,95.8,3.8,2022,0.1088190143901128,clergy,,,,21-2011,Clergy,clergy,21-2011,21-2011.00,Clergy,21-2011,Clergy
Directors religious activities and education,53256,4320,23722,2480,29534,3091,55.5,3.3,53396,2482,59830,2973,48760,3450,81.5,6.7,2022,0.059606454,directors religious activities and education,,,21-2020,,"Directors, Religious Activities and Education",directors religious activities and education,21-2020,,,,
Directors religious activities and education,53256,4320,23722,2480,29534,3091,55.5,3.3,53396,2482,59830,2973,48760,3450,81.5,6.7,2022,0.059606454,directors religious activities and education,,,,21-2021,"Directors, Religious Activities and Education",directors religious activities and education,21-2021,21-2021.00,"Directors, Religious Activities and Education",21-2021,"Directors, Religious Activities and Education"
Religious workers all other,45560,3867,19580,2466,25980,2668,57,3.7,40583,2100,45061,7248,37335,3801,82.9,13.9,2022,0.052433658,other religious workers,,,,21-2099,"Religious Workers, All Other",other religious workers,21-2099,21-2099.00,"Religious Workers, All Other",21-2099,"Religious Workers, All Other"
Legal Occupations,1621996,18740,759033,13946,862963,16622,53.2,0.7,105410,1109,150658,2432,80673,1090,53.5,1.1,2022,1.7416592439470104,legal occupations,23-0000,,,,Legal Occupations,legal occupations,23-0000,,,,
Lawyers,1036761,16133,637005,13196,399756,11947,38.6,0.9,153540,1548,162510,3910,134805,3244,83,2.5,2022,0.8068002135934926,lawyers,,,,23-1011,Lawyers,lawyers,23-1011,23-1011.00,Lawyers,23-1011,Lawyers
Judicial law clerks,19966,2312,4292,1146,15674,2170,78.5,5.3,61064,4726,73449,9834,57254,5545,(X),(X),2022,0.031633762965069694,judicial law clerks,,,,23-1012,Judicial Law Clerks,judicial law clerks,23-1012,23-1012.00,Judicial Law Clerks,23-1012,Judicial Law Clerks
Judges magistrates and other judicial workers,61766,4500,28714,3049,33052,3748,53.5,4.1,122830,12434,147752,10996,100993,4241,68.4,5.3,2022,0.066706593,other judges magistrates and judicial workers,,,23-1020,,"Judges, Magistrates, and Other Judicial Workers",other judges magistrates and judicial workers,23-1020,,,,
Paralegals and legal assistants,377255,13630,54720,5056,322535,11931,85.5,1.2,57195,989,55722,2642,57420,1129,103,5.5,2022,0.6509503469400763,paralegals and legal assistants,,,23-2010,,Paralegals and Legal Assistants,paralegals and legal assistants,23-2010,,,,
Paralegals and legal assistants,377255,13630,54720,5056,322535,11931,85.5,1.2,57195,989,55722,2642,57420,1129,103,5.5,2022,0.6509503469400763,paralegals and legal assistants,,,,23-2011,Paralegals and Legal Assistants,paralegals and legal assistants,23-2011,23-2011.00,Paralegals and Legal Assistants,23-2011,Paralegals and Legal Assistants
Title examiners abstractors and searchers,85785,5220,20749,2922,65036,4570,75.8,3,55099,2228,83353,4817,52229,1807,62.7,4.3,2022,0.1312577139336655,title examiners abstractors and searchers,,,,23-2093,"Title Examiners, Abstractors, and Searchers",title examiners abstractors and searchers,23-2093,23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093,"Title Examiners, Abstractors, and Searchers"
Legal support workers all other,40463,4220,13553,2366,26910,3081,66.5,4.2,58117,3714,62558,12514,57480,4407,91.9,22.2,2022,0.054310614,other legal support workers,,,,23-2099,"Legal Support Workers, All Other",other legal support workers,23-2099,23-2099.00,"Legal Support Workers, All Other",23-2099,"Legal Support Workers, All Other"
Educational Instruction and Library Occupations,6389431,49989,1823649,24674,4565782,37671,71.5,0.3,56913,290,66043,550,53519,270,81,0.7,2022,9.214805763569087,educational instruction and library occupations,25-0000,,,,Educational Instruction and Library Occupations,educational instruction and library occupations,25-0000,,,,
Postsecondary teachers,926405,17982,480523,13305,445882,10445,48.1,0.8,81492,755,88740,1570,75212,1177,84.8,1.9,2022,0.8998931669255587,postsecondary teachers,,25-1000,,,Postsecondary Teachers,postsecondary teachers,25-1000,,,,
Preschool and kindergarten teachers,518739,13200,13288,2369,505451,12949,97.4,0.4,34625,836,38933,3034,34472,834,88.5,7,2022,1.020117208399735,preschool and kindergarten teachers,,,25-2010,,Preschool and Kindergarten Teachers,preschool and kindergarten teachers,25-2010,,,,
Elementary and middle school teachers,2267573,27828,467639,12895,1799934,22430,79.4,0.5,58625,310,62514,821,57590,323,92.1,1.3,2022,3.632683776238979,elementary and middle school teachers,,,25-2020,,Elementary and Middle School Teachers,elementary and middle school teachers,25-2020,,,,
Secondary school teachers,966451,19770,423136,13074,543315,13297,56.2,0.9,63636,507,66453,815,61448,622,92.5,1.4,2022,1.0965355317957666,secondary school teachers,,,25-2030,,Secondary School Teachers,secondary school teachers,25-2030,,,,
Special education teachers,298468,9429,43741,4118,254727,8369,85.3,1.2,58915,933,61105,2842,58527,1113,95.8,5.2,2022,0.5140980948579373,special education teachers,,,25-2050,,Special Education Teachers,special education teachers,25-2050,,,,
Tutors,23991,2853,7643,1655,16348,2554,68.1,6.2,35242,2522,26756,3598,36227,1017,135.4,18.1,2022,0.032994051,tutors,,,25-3040,,Tutors,tutors,25-3040,,,,
Tutors,23991,2853,7643,1655,16348,2554,68.1,6.2,35242,2522,26756,3598,36227,1017,135.4,18.1,2022,0.032994051,tutors,,,,25-3041,Tutors,tutors,25-3041,25-3041.00,Tutors,25-3041,Tutors
Other teachers and instructors,390274,11808,180142,8289,210132,8282,53.8,1.5,54686,1145,62956,1325,49175,1464,78.1,2.8,2022,0.42409505419012544,other teachers and instructors,,25-3000,,,Other Teachers and Instructors,other teachers and instructors,25-3000,,,,
Other teachers and instructors,390274,11808,180142,8289,210132,8282,53.8,1.5,54686,1145,62956,1325,49175,1464,78.1,2.8,2022,0.42409505419012544,other teachers and instructors,,,,25-3099,"Teachers and Instructors, All Other",other teachers and instructors,25-3099,25-3099.00,"Teachers and Instructors, All Other",25-3099,"Teachers and Instructors, All Other"
Archivists curators and museum technicians,59778,4645,27011,2953,32767,3441,54.8,3.7,63006,2665,66255,3212,60163,2682,90.8,5.5,2022,0.066131397,archivists curators and museum technicians,,,25-4010,,"Archivists, Curators, and Museum Technicians",archivists curators and museum technicians,25-4010,,,,
Librarians and media collections specialists,151697,5974,33331,3279,118366,5144,78,1.9,59774,1323,60830,2658,59444,1484,97.7,4.9,2022,0.23889000811046576,librarians and media collections specialists,,,25-4020,,Librarians and Media Collections Specialists,librarians and media collections specialists,25-4020,,,,
Librarians and media collections specialists,151697,5974,33331,3279,118366,5144,78,1.9,59774,1323,60830,2658,59444,1484,97.7,4.9,2022,0.23889000811046576,librarians and media collections specialists,,,,25-4022,Librarians and Media Collections Specialists,librarians and media collections specialists,25-4022,25-4022.00,Librarians and Media Collections Specialists,25-4022,Librarians and Media Collections Specialists
Library technicians,13177,1778,3478,1157,9699,1452,73.6,7.3,36159,3038,38700,6637,33480,4625,(X),(X),2022,0.019574828824691273,library technicians,,,25-4030,,Library Technicians,library technicians,25-4030,,,,
Library technicians,13177,1778,3478,1157,9699,1452,73.6,7.3,36159,3038,38700,6637,33480,4625,(X),(X),2022,0.019574828824691273,library technicians,,,,25-4031,Library Technicians,library technicians,25-4031,25-4031.00,Library Technicians,25-4031,Library Technicians
Teaching assistants,653135,14970,115145,6603,537990,13401,82.4,0.9,27426,421,33387,2266,26511,397,79.4,5.5,2022,1.085788448231329,teaching assistants,,,25-9040,,Teaching Assistants,teaching assistants,25-9040,,,,
Other educational instruction and library workers,119743,5940,28572,2975,91171,5179,76.1,2.2,65173,1738,75534,4414,62714,2058,83,5.8,2022,0.18400419824476005,other educational instruction and library workers,,,,25-9099,"Educational Instruction and Library Workers, All Other",other educational instruction and library workers,25-9099,25-9099.00,"Educational Instruction and Library Workers, All Other",25-9099,"Educational Instruction and Library Workers, All Other"
Arts Design Entertainment Sports and Media Occupations,2135169,26398,1150086,18909,985083,17279,46.1,0.6,63876,458,67623,1153,60840,582,90,1.9,2022,1.9881256936914475,arts design entertainment sports and media occupations,27-0000,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",arts design entertainment sports and media occupations,27-0000,,,,
Artists and related workers,181001,8067,106707,5949,74294,5366,41,2.2,52653,3112,62407,4210,42772,3799,68.5,7.2,2022,0.14994250259837233,artists and related workers,,,27-1010,,Artists and Related Workers,artists and related workers,27-1010,,,,
Commercial and industrial designers,12508,2073,9554,1922,2954,837,23.6,6.4,77064,11882,74640,14744,77891,24959,(X),(X),2022,0.005961856,commercial and industrial designers,,,,27-1021,Commercial and Industrial Designers,commercial and industrial designers,27-1021,27-1021.00,Commercial and Industrial Designers,27-1021,Commercial and Industrial Designers
Fashion designers,18463,2679,3218,1241,15245,2209,82.6,5.6,58626,5651,88724,20022,56181,7293,(X),(X),2022,0.030767941584948805,fashion designers,,,,27-1022,Fashion Designers,fashion designers,27-1022,27-1022.00,Fashion Designers,27-1022,Fashion Designers
Floral designers,31319,3490,3997,1329,27322,3111,87.2,3.8,35924,1128,42387,10809,35201,1874,(X),(X),2022,0.055142125,floral designers,,,,27-1023,Floral Designers,floral designers,27-1023,27-1023.00,Floral Designers,27-1023,Floral Designers
Graphic designers,229189,8404,111263,5681,117926,6394,51.5,1.9,58685,1247,62654,2343,55657,1511,88.8,4.1,2022,0.2380019861821366,graphic designers,,,,27-1024,Graphic Designers,graphic designers,27-1024,27-1024.00,Graphic Designers,27-1024,Graphic Designers
Interior designers,79579,5233,16285,2564,63294,4300,79.5,2.7,63006,2397,59117,5927,63763,2294,107.9,11.4,2022,0.1277419543901443,interior designers,,,,27-1025,Interior Designers,interior designers,27-1025,27-1025.00,Interior Designers,27-1025,Interior Designers
Merchandise displayers and window trimmers,20746,2992,8529,1996,12217,2193,58.9,7.1,36589,2755,37153,3630,35946,4778,(X),(X),2022,0.024656736132720205,merchandise displayers and window trimmers,,,,27-1026,Merchandise Displayers and Window Trimmers,merchandise displayers and window trimmers,27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,27-1026,Merchandise Displayers and Window Trimmers
Other designers,298518,9139,181424,6651,117094,5371,39.2,1.3,76578,1334,81272,1328,70319,2107,86.5,3,2022,0.23632281744493244,other designers,,,,27-1029,"Designers, All Other",other designers,27-1029,27-1029.00,"Designers, All Other",27-1029,"Designers, All Other"
Actors,15494,2792,9132,2101,6362,1643,41.1,8,49060,8134,44656,19527,49659,11088,(X),(X),2022,0.012839989790976994,actors,,,,27-2011,Actors,actors,27-2011,27-2011.00,Actors,27-2011,Actors
Producers and directors,167133,7398,103646,5419,63487,4992,38,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,,,,27-2012,Producers and Directors,producers and directors,27-2012,27-2012.00,Producers and Directors,27-2012,Producers and Directors
Producers and directors,167133,7398,103646,5419,63487,4992,38,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,,,,27-2012,Producers and Directors,producers and directors,27-2012,27-2012.03,Media Programming Directors,27-2012,Producers and Directors
Producers and directors,167133,7398,103646,5419,63487,4992,38,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,,,,27-2012,Producers and Directors,producers and directors,27-2012,27-2012.04,Talent Directors,27-2012,Producers and Directors
Producers and directors,167133,7398,103646,5419,63487,4992,38,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,,,,27-2012,Producers and Directors,producers and directors,27-2012,27-2012.05,Media Technical Directors/Managers,27-2012,Producers and Directors
Athletes and sports competitors,22652,3049,19838,2730,2814,1084,12.4,4.3,63959,7492,62924,7809,79397,113194,(X),(X),2022,0.005679304,athletes and sports competitors,,,,27-2021,Athletes and Sports Competitors,athletes and sports competitors,27-2021,27-2021.00,Athletes and Sports Competitors,27-2021,Athletes and Sports Competitors
Coaches and scouts,132754,6227,84572,4932,48182,3929,36.3,2.3,53963,1954,56604,3691,50726,2749,89.6,7.1,2022,0.097242438,coaches and scouts,,,,27-2022,Coaches and Scouts,coaches and scouts,27-2022,27-2022.00,Coaches and Scouts,27-2022,Coaches and Scouts
Umpires referees and other sports officials,3251,1032,2368,721,883,537,27.2,11.7,48447,16170,72930,31238,17119,31741,(X),(X),2022,0.001782099,other umpires referees and sports officials,,,,27-2023,"Umpires, Referees, and Other Sports Officials",other umpires referees and sports officials,27-2023,27-2023.00,"Umpires, Referees, and Other Sports Officials",27-2023,"Umpires, Referees, and Other Sports Officials"
Dancers and choreographers,7129,1912,2051,756,5078,1715,71.2,10.2,51837,17950,39542,39594,52434,18798,(X),(X),2022,0.010248580345580193,dancers and choreographers,,,27-2030,,Dancers and Choreographers,dancers and choreographers,27-2030,,,,
Music directors and composers,25869,3220,19665,2812,6204,1379,24,4.7,54232,6840,55261,9799,53399,5221,(X),(X),2022,0.012521109189440627,music directors and composers,,,,27-2041,Music Directors and Composers,music directors and composers,27-2041,27-2041.00,Music Directors and Composers,27-2041,Music Directors and Composers
Musicians and singers,44487,3591,33605,3201,10882,2465,24.5,4.9,47054,4703,50507,3967,38804,10642,76.8,21.4,2022,0.021962396872903436,musicians and singers,,,,27-2042,Musicians and Singers,musicians and singers,27-2042,27-2042.00,Musicians and Singers,27-2042,Musicians and Singers
Disc jockeys except radio,6954,1645,6426,1539,528,459,7.6,6.2,37734,6296,37356,7491,40802,21801,(X),(X),2022,0.001065626,disc jockeys except radio,,,,27-2091,"Disc Jockeys, Except Radio",disc jockeys except radio,27-2091,27-2091.00,"Disc Jockeys, Except Radio",27-2091,"Disc Jockeys, Except Radio"
Entertainers and performers sports and related workers all other,15150,2872,8774,1997,6376,1809,42.1,8.3,41540,2836,51148,11888,37899,4083,(X),(X),2022,0.012868245034151104,other entertainers and performers sports and related workers,,,,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",other entertainers and performers sports and related workers,27-2099,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
Broadcast announcers and radio disc jockeys,16281,2461,10838,2316,5443,1236,33.4,7.5,63795,8793,69747,10083,60047,11447,(X),(X),2022,0.010985234899762305,broadcast announcers and radio disc jockeys,,,27-3010,,Broadcast Announcers and Radio Disc Jockeys,broadcast announcers and radio disc jockeys,27-3010,,,,
Broadcast announcers and radio disc jockeys,16281,2461,10838,2316,5443,1236,33.4,7.5,63795,8793,69747,10083,60047,11447,(X),(X),2022,0.010985234899762305,broadcast announcers and radio disc jockeys,,,,27-3011,Broadcast Announcers and Radio Disc Jockeys,broadcast announcers and radio disc jockeys,27-3011,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,27-3011,Broadcast Announcers and Radio Disc Jockeys
News analysts reporters and journalists,64582,4795,35469,3711,29113,2907,45.1,3.5,67721,5371,68568,8210,67336,5557,98.2,14.2,2022,0.058756778,news analysts reporters and journalists,,,27-3020,,"News Analysts, Reporters and Journalists",news analysts reporters and journalists,27-3020,,,,
News analysts reporters and journalists,64582,4795,35469,3711,29113,2907,45.1,3.5,67721,5371,68568,8210,67336,5557,98.2,14.2,2022,0.058756778,news analysts reporters and journalists,,,,27-3023,"News Analysts, Reporters, and Journalists",news analysts reporters and journalists,27-3023,27-3023.00,"News Analysts, Reporters, and Journalists",27-3023,"News Analysts, Reporters, and Journalists"
Public relations specialists,131938,7103,47789,3862,84149,5503,63.8,2.2,81373,2578,91028,7117,76835,3923,84.4,8,2022,0.16983217556128938,public relations specialists,,,27-3030,,Public Relations Specialists,public relations specialists,27-3030,,,,
Public relations specialists,131938,7103,47789,3862,84149,5503,63.8,2.2,81373,2578,91028,7117,76835,3923,84.4,8,2022,0.16983217556128938,public relations specialists,,,,27-3031,Public Relations Specialists,public relations specialists,27-3031,27-3031.00,Public Relations Specialists,27-3031,Public Relations Specialists
Editors,98889,5011,42287,3348,56602,4045,57.2,2.7,68665,3073,70591,6088,67529,3147,95.7,9.4,2022,0.11423594815292044,editors,,,,27-3041,Editors,editors,27-3041,27-3041.00,Editors,27-3041,Editors
Technical writers,49967,4079,21913,2792,28054,2750,56.1,3.8,85795,1849,87478,3802,82147,2928,93.9,4.7,2022,0.056619471,technical writers,,,,27-3042,Technical Writers,technical writers,27-3042,27-3042.00,Technical Writers,27-3042,Technical Writers
Writers and authors,146504,8010,65251,4572,81253,5494,55.5,2.1,69355,2342,70712,2946,67291,4957,95.2,8.8,2022,0.16398737668755953,writers and authors,,,,27-3043,Writers and Authors,writers and authors,27-3043,27-3043.00,Writers and Authors,27-3043,Writers and Authors
Writers and authors,146504,8010,65251,4572,81253,5494,55.5,2.1,69355,2342,70712,2946,67291,4957,95.2,8.8,2022,0.16398737668755953,writers and authors,,,,27-3043,Writers and Authors,writers and authors,27-3043,27-3043.05,"Poets, Lyricists and Creative Writers",27-3043,Writers and Authors
Interpreters and translators,49034,3390,14446,2179,34588,2819,70.5,3.7,47489,2561,52010,3846,44206,3634,85,9.4,2022,0.069806596,interpreters and translators,,,,27-3091,Interpreters and Translators,interpreters and translators,27-3091,27-3091.00,Interpreters and Translators,27-3091,Interpreters and Translators
Court reporters and simultaneous captioners,22611,2876,2485,810,20126,2779,89,3.5,69468,9464,62289,38918,70078,9067,(X),(X),2022,0.04061893,court reporters and simultaneous captioners,,,,27-3092,Court Reporters and Simultaneous Captioners,court reporters and simultaneous captioners,27-3092,27-3092.00,Court Reporters and Simultaneous Captioners,27-3092,Court Reporters and Simultaneous Captioners
Media and communication workers all other,17085,2044,8173,1682,8912,1502,52.2,7.2,74522,7595,70352,11811,78983,10976,(X),(X),2022,0.017986481,other media and communication workers,,,,27-3099,"Media and Communication Workers, All Other",other media and communication workers,27-3099,27-3099.00,"Media and Communication Workers, All Other",27-3099,"Media and Communication Workers, All Other"
Broadcast sound and lighting technicians,70890,5319,64821,5124,6069,1285,8.6,1.8,61992,2245,63222,3644,56296,8681,(X),(X),2022,0.012248647915976012,broadcast sound and lighting technicians,,,27-4010,,"Broadcast, Sound, and Lighting Technicians",broadcast sound and lighting technicians,27-4010,,,,
Photographers,89594,5380,52381,4064,37213,3587,41.5,3,48595,3444,52014,2840,41408,3505,79.6,8.2,2022,0.075104455,photographers,,,27-4020,,Photographers,photographers,27-4020,,,,
Photographers,89594,5380,52381,4064,37213,3587,41.5,3,48595,3444,52014,2840,41408,3505,79.6,8.2,2022,0.075104455,photographers,,,,27-4021,Photographers,photographers,27-4021,27-4021.00,Photographers,27-4021,Photographers
Television video and film camera operators and editors,64131,4333,51814,3818,12317,1807,19.2,2.5,62337,3882,61917,4620,64202,13589,103.7,25,2022,0.024858559298249552,television video and film camera operators and editors,,,27-4030,,"Television, Video, and Film Camera Operators and Editors",television video and film camera operators and editors,27-4030,,,,
Media and communication equipment workers all other,1467,754,1365,745,102,172,7,12,80282,25488,80614,18529,-,**,-,**,2022,0.00020586,other media and communication equipment workers,,,,27-4099,"Media and Communication Equipment Workers, All Other",other media and communication equipment workers,27-4099,27-4099.00,"Media and Communication Equipment Workers, All Other",27-4099,"Media and Communication Equipment Workers, All Other"
Healthcare Practitioners and Technical Occupations,7555731,50499,2062441,26725,5493290,44448,72.7,0.3,76047,324,95762,1244,72119,346,75.3,1.1,2022,11.086731769707013,healthcare practitioners and technical occupations,29-0000,,,,Healthcare Practitioners and Technical Occupations,healthcare practitioners and technical occupations,29-0000,,,,
Chiropractors,49704,4410,35647,3398,14057,2426,28.3,3.8,85446,4577,91442,4579,64268,12983,70.3,14.4,2022,0.028370282378460173,chiropractors,,,29-1010,,Chiropractors,chiropractors,29-1010,,,,
Chiropractors,49704,4410,35647,3398,14057,2426,28.3,3.8,85446,4577,91442,4579,64268,12983,70.3,14.4,2022,0.028370282378460173,chiropractors,,,,29-1011,Chiropractors,chiropractors,29-1011,29-1011.00,Chiropractors,29-1011,Chiropractors
Dentists,107523,5716,73136,5224,34387,3269,32,2.8,186740,6751,200421,9596,158308,4805,79,4.7,2022,0.069400932,dentists,,,29-1020,,Dentists,dentists,29-1020,,,,
Dietitians and nutritionists,75139,5020,8822,1629,66317,5101,88.3,2.2,63255,1383,59936,7465,63446,1360,105.9,12.5,2022,0.1338430686840964,dietitians and nutritionists,,,29-1030,,Dietitians and Nutritionists,dietitians and nutritionists,29-1030,,,,
Dietitians and nutritionists,75139,5020,8822,1629,66317,5101,88.3,2.2,63255,1383,59936,7465,63446,1360,105.9,12.5,2022,0.1338430686840964,dietitians and nutritionists,,,,29-1031,Dietitians and Nutritionists,dietitians and nutritionists,29-1031,29-1031.00,Dietitians and Nutritionists,29-1031,Dietitians and Nutritionists
