Occupation Name,Task Description,Importance,Verb-Noun Pairs,Meaningful Verb-Noun Pairs,Unmeaningful Verb-Noun Pairs
"Administrative Law Judges, Adjudicators, and Hearing Officers","Rule on exceptions, motions, and admissibility of evidence.
Related occupations",83,[],[],[]
"Administrative Law Judges, Adjudicators, and Hearing Officers","Issue subpoenas and administer oaths in preparation for formal hearings.
Related occupations",69,[],[],[]
"Administrative Law Judges, Adjudicators, and Hearing Officers","Schedule hearings.
Related occupations",78,[],[],[]
Administrative Services Managers,"Set goals and deadlines for the department.
Related occupations",68,[],[],[]
Administrative Services Managers,"Acquire, distribute and store supplies.
Related occupations",60,[],[],[]
Administrative Services Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.
Related occupations",77,[],[],[]
Administrative Services Managers,"Represent work unit at meetings or conferences and serve as liaison for requests or complaints.
Related occupations",Not available,[],[],[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Assign and grade class work and homework.
Related occupations",79,[],[],[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Collaborate with other teachers and professionals in the development of instructional programs.
Related occupations",62,[],[],[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Guide and counsel students with adjustment or academic problems or special academic interests.
Related occupations",58,[],[],[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Select, order, and issue books, materials, and supplies for courses or projects.
Related occupations",56,[],[],[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula.
Related occupations",54,[],[],[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Participate in publicity planning, community awareness efforts, and student recruitment.
Related occupations",52,[],[],[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Advise students on internships, prospective employers, and job placement services.
Related occupations",51,[],[],[]
Advanced Practice Psychiatric Nurses,"Assess patients' mental and physical status, based on the presenting symptoms and complaints.
Related occupations",98,[],[],[]
Advanced Practice Psychiatric Nurses,"Diagnose psychiatric disorders and mental health conditions.
Related occupations",97,[],[],[]
Advanced Practice Psychiatric Nurses,"Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.
Related occupations",97,[],[],[]
Advanced Practice Psychiatric Nurses,"Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.
Related occupations",97,[],[],[]
Advanced Practice Psychiatric Nurses,"Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.
Related occupations",94,[],[],[]
Advanced Practice Psychiatric Nurses,"Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.
Related occupations",85,[],[],[]
Advanced Practice Psychiatric Nurses,"Participate in activities aimed at professional growth and development, including conferences or continuing education activities.
Related occupations",85,[],[],[]
Advanced Practice Psychiatric Nurses,"Consult with psychiatrists or other professionals when unusual or complex cases are encountered.
Related occupations",81,[],[],[]
Advanced Practice Psychiatric Nurses,"Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.
Related occupations",76,[],[],[]
Advanced Practice Psychiatric Nurses,"Administer medications, including those administered by injection.
Related occupations",64,[],[],[]
Advertising and Promotions Managers,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.
Related occupations",71,[],[],[]
Advertising and Promotions Managers,"Direct and coordinate product research and development.
Related occupations",59,[],[],[]
Advertising and Promotions Managers,"Attend or participate in conferences, community events, and promotional events related to products or technologies.
Related occupations",Not available,[],[],[]
Advertising Sales Agents,"Write copy as part of layout.
Related occupations",79,[],[],[]
Advertising Sales Agents,"Write sales outlines for use by staff.
Related occupations",48,[],[],[]
Aerospace Engineering and Operations Technologists and Technicians,"Confer with engineering personnel regarding details and implications of test procedures and results.
Related occupations",86,[],[],[]
Aerospace Engineering and Operations Technologists and Technicians,"Finish vehicle instrumentation and deinstrumentation.
Related occupations",86,[],[],[]
Aerospace Engineering and Operations Technologists and Technicians,"Design electrical and mechanical systems for avionic instrumentation applications.
Related occupations",72,[],[],[]
Aerospace Engineers,"Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.
Related occupations",75,[],[],[]
Aerospace Engineers,"Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products.
Related occupations",70,[],[],[]
Aerospace Engineers,"Direct aerospace research and development programs.
Related occupations",62,[],[],[]
"Agents and Business Managers of Artists, Performers, and Athletes","Keep informed of industry trends and deals.
Related occupations",82,[],[],[]
"Agents and Business Managers of Artists, Performers, and Athletes","Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.
Related occupations",75,[],[],[]
"Agents and Business Managers of Artists, Performers, and Athletes","Schedule promotional or performance engagements for clients.
Related occupations",65,[],[],[]
"Agents and Business Managers of Artists, Performers, and Athletes","Advise clients on financial and legal matters, such as investments and taxes.
Related occupations",39,[],[],[]
Agricultural Engineers,"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.
Related occupations",76,[],[],[]
Agricultural Engineers,"Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.
Related occupations",65,[],[],[]
Agricultural Engineers,"Design food processing plants and related mechanical systems.
Related occupations",66,[],[],[]
Agricultural Inspectors,"Testify in legal proceedings.
Related occupations",72,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",80,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Evaluate and grade students' class work, laboratory work, assignments, and papers.
Related occupations",76,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",75,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.
Related occupations",74,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",70,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",64,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",59,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Participate in campus and community events.
Related occupations",55,[],[],[]
"Agricultural Sciences Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",53,[],[],[]
Agricultural Technicians,"Record data pertaining to experimentation, research, or animal care.
Related occupations",79,[],[],[]
Agricultural Technicians,"Conduct insect or plant disease surveys.
Related occupations",63,[],[],[]
Agricultural Technicians,"Transplant trees, vegetables, or horticultural plants.
Related occupations",55,[],[],[]
Agricultural Technicians,"Respond to general inquiries or requests from the public.
Related occupations",50,[],[],[]
Agricultural Technicians,"Prepare or present agricultural demonstrations.
Related occupations",48,[],[],[]
Air Traffic Controllers,"Relay air traffic information, such as courses, altitudes, or expected arrival times, to control centers.
Related occupations",84,[],[],[]
Air Traffic Controllers,"Inspect, adjust, or control radio equipment or airport lights.
Related occupations",82,[],[],[]
Air Traffic Controllers,"Compile information about flights from flight plans, pilot reports, radar, or observations.
Related occupations",81,[],[],[]
Aircraft Cargo Handling Supervisors,"Direct ground crews in the loading, unloading, securing, or staging of aircraft cargo or baggage.
Related occupations",89,[],[],[]
Aircraft Mechanics and Service Technicians,"Obtain fuel and oil samples and check them for contamination.
Related occupations",84,[],[],[]
Aircraft Mechanics and Service Technicians,"Inventory and requisition or order supplies, parts, materials, and equipment.
Related occupations",73,[],[],[]
Aircraft Mechanics and Service Technicians,"Clean, strip, prime, and sand structural surfaces and materials to prepare them for bonding.
Related occupations",71,[],[],[]
Aircraft Mechanics and Service Technicians,"Prepare and paint aircraft surfaces.
Related occupations",67,[],[],[]
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Clean, oil, or coat system components, as necessary, before assembly or attachment.
Related occupations",79,[],[],[]
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Assemble prefabricated parts to form subassemblies.
Related occupations",78,"[('prefabricate', 'part'), ('form', 'subassemblie')]",[],"[('prefabricate', 'part'), ('form', 'subassemblie')]"
Airfield Operations Specialists,"Assist in responding to aircraft and medical emergencies.
Related occupations",93,[],[],[]
Airfield Operations Specialists,"Coordinate communications between air traffic control and maintenance personnel.
Related occupations",84,[],[],[]
Airfield Operations Specialists,"Train operations staff.
Related occupations",79,[],[],[]
Airfield Operations Specialists,"Relay departure, arrival, delay, aircraft and airfield status, and other pertinent information to upline controlling agencies.
Related occupations",70,[],[],[]
Airfield Operations Specialists,"Anticipate aircraft equipment needs for air evacuation and cargo flights.
Related occupations",69,[],[],[]
Airfield Operations Specialists,"Post visual display boards and status boards.
Related occupations",67,[],[],[]
Airfield Operations Specialists,"Coordinate changes to flight itineraries with appropriate Air Traffic Control (ATC) agencies.
Related occupations",54,[],[],[]
"Airline Pilots, Copilots, and Flight Engineers","Work as part of a flight team with other crew members, especially during takeoffs and landings.
Related occupations",97,[],[],[]
"Airline Pilots, Copilots, and Flight Engineers","Confer with flight dispatchers and weather forecasters to keep abreast of flight conditions.
Related occupations",85,[],[],[]
"Airline Pilots, Copilots, and Flight Engineers","Brief crews about flight details, such as destinations, duties, and responsibilities.
Related occupations",81,[],[],[]
"Airline Pilots, Copilots, and Flight Engineers","Direct activities of aircraft crews during flights.
Related occupations",74,[],[],[]
"Airline Pilots, Copilots, and Flight Engineers","Record in log books information, such as flight times, distances flown, and fuel consumption.
Related occupations",68,[],[],[]
"Airline Pilots, Copilots, and Flight Engineers","File instrument flight plans with air traffic control to ensure that flights are coordinated with other air traffic.
Related occupations",77,[],[],[]
Allergists and Immunologists,"Educate patients about diagnoses, prognoses, or treatments.
Related occupations",95,[],[],[]
Allergists and Immunologists,"Document patients' medical histories.
Related occupations",94,[],[],[]
Allergists and Immunologists,"Engage in self-directed learning and continuing education activities.
Related occupations",78,[],[],[]
Allergists and Immunologists,"Present research findings at national meetings or in peer-reviewed journals.
Related occupations",58,[],[],[]
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Report facts concerning accidents or emergencies to hospital personnel or law enforcement officials.
Related occupations",84,[],[],[]
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Place patients on stretchers, and load stretchers into ambulances, usually with assistance from other attendants.
Related occupations",82,[],[],[]
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Administer first aid, such as bandaging, splinting, or administering oxygen.
Related occupations",71,[],[],[]
Amusement and Recreation Attendants,"Keep informed of shut-down and emergency evacuation procedures.
Related occupations",73,[],[],[]
Amusement and Recreation Attendants,"Direct patrons to rides, seats, or attractions.
Related occupations",69,[],[],[]
Amusement and Recreation Attendants,"Record details of attendance, sales, receipts, reservations, or repair activities.
Related occupations",67,[],[],[]
Amusement and Recreation Attendants,"Clean sporting equipment, vehicles, rides, booths, facilities, or grounds.
Related occupations",66,[],[],[]
Anesthesiologist Assistants,"Participate in seminars, workshops, or other professional activities to keep abreast of developments in anesthesiology.
Related occupations",70,[],[],[]
Anesthesiologist Assistants,"Control anesthesia levels during procedures.
Related occupations",98,[],[],[]
Anesthesiologist Assistants,"Assist anesthesiologists in monitoring of patients, including electrocardiogram (EKG), direct arterial pressure, central venous pressure, arterial blood gas, hematocrit, or routine measurement of temperature, respiration, blood pressure or heart rate.
Related occupations",96,[],[],[]
Anesthesiologist Assistants,"Administer blood, blood products, or supportive fluids.
Related occupations",92,[],[],[]
Anesthesiologist Assistants,"Collect and document patients' pre-anesthetic health histories.
Related occupations",90,[],[],[]
Anesthesiologist Assistants,"Monitor and document patients' progress during post-anesthesia period.
Related occupations",82,[],[],[]
Anesthesiologist Assistants,"Administer anesthetic, adjuvant, or accessory drugs under the direction of an anesthesiologist.
Related occupations",81,[],[],[]
Anesthesiologists,"Record type and amount of anesthesia and patient condition throughout procedure.
Related occupations",96,[],[],[]
Anesthesiologists,"Coordinate administration of anesthetics with surgeons during operation.
Related occupations",91,[],[],[]
Anesthesiologists,"Decide when patients have recovered or stabilized enough to be sent to another room or ward or to be sent home following outpatient surgery.
Related occupations",91,[],[],[]
Anesthesiologists,"Order laboratory tests, x-rays, and other diagnostic procedures.
Related occupations",80,[],[],[]
Anesthesiologists,"Coordinate and direct work of nurses, medical technicians, and other health care providers.
Related occupations",75,[],[],[]
Animal Breeders,"Feed and water animals, and clean and disinfect pens, cages, yards, and hutches.
Related occupations",94,[],[],[]
Animal Breeders,"Purchase and stock supplies of feed and medicines.
Related occupations",86,[],[],[]
Animal Breeders,"Build hutches, pens, and fenced yards.
Related occupations",74,[],[],[]
Animal Breeders,"Record animal characteristics such as weights, growth patterns, and diets.
Related occupations",74,[],[],[]
Animal Breeders,"Arrange for sale of animals and eggs to hospitals, research centers, pet shops, and food processing plants.
Related occupations",87,[],[],[]
Animal Breeders,"Bathe and groom animals.
Related occupations",84,[],[],[]
Animal Breeders,"Exercise animals to keep them in healthy condition.
Related occupations",82,[],[],[]
Animal Breeders,"Clip or shear hair on animals.
Related occupations",65,[],[],[]
Animal Breeders,"Package and label semen to be used for artificial insemination, recording information such as the date, source, quality, and concentration.
Related occupations",52,[],[],[]
Animal Breeders,"Exhibit animals at shows.
Related occupations",52,[],[],[]
Animal Breeders,"Examine semen microscopically to assess and record density and motility of gametes, and dilute semen with prescribed diluents, according to formulas.
Related occupations",42,"[('examine', 'seman'), ('dilute', 'seman')]",[],"[('examine', 'seman'), ('dilute', 'seman')]"
Animal Caretakers,"Feed and water animals according to schedules and feeding instructions.
Related occupations",96,[],[],[]
Animal Caretakers,"Answer telephones and schedule appointments.
Related occupations",79,[],[],[]
Animal Caretakers,"Advise pet owners on how to care for their pets' health.
Related occupations",74,[],[],[]
Animal Caretakers,"Discuss with clients their pets' grooming needs.
Related occupations",72,[],[],[]
Animal Caretakers,"Anesthetize and inoculate animals, according to instructions.
Related occupations",70,[],[],[]
Animal Caretakers,"Order, unload, and store feed and supplies.
Related occupations",59,[],[],[]
Animal Control Workers,"Supply animals with food, water, and personal care.
Related occupations",89,[],[],[]
Animal Control Workers,"Contact animal owners to inform them that their pets are at animal holding facilities.
Related occupations",87,[],[],[]
Animal Control Workers,"Clean facilities and equipment such as dog pens and animal control trucks.
Related occupations",85,[],[],[]
Animal Control Workers,"Euthanize rabid, unclaimed, or severely injured animals.
Related occupations",82,[],[],[]
Animal Control Workers,"Answer inquiries from the public concerning animal control operations.
Related occupations",78,[],[],[]
Animal Scientists,"Study effects of management practices, processing methods, feed, or environmental conditions on quality and quantity of animal products, such as eggs and milk.
Related occupations",83,[],[],[]
Animal Trainers,"Cue or signal animals during performances.
Related occupations",87,[],[],[]
Animal Trainers,"Talk to or interact with animals to familiarize them to human voices or contact.
Related occupations",87,[],[],[]
Animal Trainers,"Administer prescribed medications to animals.
Related occupations",81,[],[],[]
Animal Trainers,"Advise animal owners regarding the purchase of specific animals.
Related occupations",66,[],[],[]
Animal Trainers,"Train dogs in human assistance or property protection duties.
Related occupations",83,[],[],[]
Anthropologists and Archeologists,"Teach or mentor undergraduate and graduate students in anthropology or archeology.
Related occupations",86,[],[],[]
Anthropologists and Archeologists,"Write about and present research findings for a variety of specialized and general audiences.
Related occupations",84,[],[],[]
Anthropologists and Archeologists,"Lead field training sites and train field staff, students, and volunteers in excavation methods.
Related occupations",68,[],[],[]
Anthropologists and Archeologists,"Advise government agencies, private organizations, and communities regarding proposed programs, plans, and policies and their potential impacts on cultural institutions, organizations, and communities.
Related occupations",61,[],[],[]
Anthropologists and Archeologists,"Describe artifacts' physical properties or attributes, such as the materials from which artifacts are made and their size, shape, function, and decoration.
Related occupations",67,[],[],[]
Anthropologists and Archeologists,"Collect artifacts made of stone, bone, metal, and other materials, placing them in bags and marking them to show where they were found.
Related occupations",66,[],[],[]
Anthropologists and Archeologists,"Participate in forensic activities, such as tooth and bone structure identification, in conjunction with police departments and pathologists.
Related occupations",58,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences.
Related occupations",92,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",88,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.
Related occupations",86,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Advise students on academic and vocational curricula, career issues, and laboratory and field research.
Related occupations",80,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.
Related occupations",79,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Supervise students' laboratory or field work.
Related occupations",78,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",61,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",61,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",57,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Participate in campus and community events.
Related occupations",54,[],[],[]
"Anthropology and Archeology Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",45,[],[],[]
Appraisers and Assessors of Real Estate,"Obtain county land values and sales information about nearby properties to aid in establishment of property values.
Related occupations",69,[],[],[]
Appraisers and Assessors of Real Estate,"Testify in court as to the value of a piece of real estate property.
Related occupations",50,[],[],[]
Appraisers and Assessors of Real Estate,"Approve applications for property tax exemptions or deductions.
Related occupations",86,[],[],[]
"Arbitrators, Mediators, and Conciliators","Determine extent of liability according to evidence, laws, or administrative or judicial precedents.
Related occupations",90,[],[],[]
"Arbitrators, Mediators, and Conciliators","Rule on exceptions, motions, or admissibility of evidence.
Related occupations",88,[],[],[]
"Arbitrators, Mediators, and Conciliators","Research laws, regulations, policies, or precedent decisions to prepare for hearings.
Related occupations",70,[],[],[]
"Arbitrators, Mediators, and Conciliators","Issue subpoenas or administer oaths to prepare for formal hearings.
Related occupations",70,[],[],[]
"Arbitrators, Mediators, and Conciliators","Participate in court proceedings.
Related occupations",40,[],[],[]
"Architects, Except Landscape and Naval","Plan layouts of structural architectural projects.
Related occupations",81,[],[],[]
"Architects, Except Landscape and Naval","Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.
Related occupations",78,[],[],[]
"Architects, Except Landscape and Naval","Administer construction contracts.
Related occupations",74,[],[],[]
"Architects, Except Landscape and Naval","Gather information related to projects' environmental sustainability or operational efficiency.
Related occupations",49,[],[],[]
Architectural and Civil Drafters,"Draft plans and detailed drawings for structures, installations, and construction projects, such as highways, sewage disposal systems, and dikes, working from sketches or notes.
Related occupations",90,[],[],[]
Architectural and Civil Drafters,"Finish and duplicate drawings and documentation packages according to required mediums and specifications for reproduction, using blueprinting, photography, or other duplicating methods.
Related occupations",75,[],[],[]
Architectural and Civil Drafters,"Determine procedures and instructions to be followed, according to design specifications and quantity of required materials.
Related occupations",69,[],[],[]
Architectural and Engineering Managers,"Direct recruitment, placement, and evaluation of architecture or engineering project staff.
Related occupations",54,[],[],[]
Architectural and Engineering Managers,"Plan, direct, or coordinate survey work with other project activities.
Related occupations",54,[],[],[]
"Architecture Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.
Related occupations",87,[],[],[]
"Architecture Teachers, Postsecondary","Evaluate and grade students' work, including work performed in design studios.
Related occupations",85,[],[],[]
"Architecture Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",83,[],[],[]
"Architecture Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",77,[],[],[]
"Architecture Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",68,[],[],[]
"Architecture Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",67,[],[],[]
"Architecture Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",61,[],[],[]
"Architecture Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",56,[],[],[]
"Architecture Teachers, Postsecondary","Participate in campus and community events.
Related occupations",49,[],[],[]
Archivists,"Coordinate educational and public outreach programs, such as tours, workshops, lectures, and classes.
Related occupations",72,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",94,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.
Related occupations",92,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.
Related occupations",78,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Advise students on academic and vocational curricula, and on career issues.
Related occupations",70,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",65,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",62,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Incorporate experiential or site visit components into courses.
Related occupations",54,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",53,[],[],[]
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",53,[],[],[]
Art Directors,"Present final layouts to clients for approval.
Related occupations",88,[],[],[]
Art Directors,"Negotiate with printers and estimators to determine what services will be performed.
Related occupations",67,[],[],[]
Art Therapists,"Observe and document client reactions, progress, or other outcomes related to art therapy.
Related occupations",93,[],[],[]
Art Therapists,"Establish goals or objectives for art therapy sessions in consultation with clients or site administrators.
Related occupations",76,[],[],[]
Art Therapists,"Supervise staff, volunteers, practicum students, or interns.
Related occupations",73,[],[],[]
Art Therapists,"Gather client information from sources such as case documentation, client observation, or interviews of client or family members.
Related occupations",70,[],[],[]
Art Therapists,"Photograph or videotape client artwork for inclusion in client records or for promotional purposes.
Related occupations",47,[],[],[]
Art Therapists,"Coordinate field trips for client groups to museums or other public displays of art.
Related occupations",31,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Evaluate and grade students' class work, performances, projects, assignments, and papers.
Related occupations",89,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.
Related occupations",86,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.
Related occupations",80,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.
Related occupations",71,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Advise students on academic and vocational curricula and on career issues.
Related occupations",70,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Display students' work in schools, galleries, and exhibitions.
Related occupations",65,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Participate in campus and community events.
Related occupations",63,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.
Related occupations",62,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Act as advisers to student organizations.
Related occupations",56,[],[],[]
"Art, Drama, and Music Teachers, Postsecondary","Compile bibliographies of specialized materials for outside reading assignments.
Related occupations",49,[],[],[]
Astronomers,"Present research findings at scientific conferences and in papers written for scientific journals.
Related occupations",91,[],[],[]
Astronomers,"Mentor graduate students and junior colleagues.
Related occupations",85,[],[],[]
Astronomers,"Supervise students' research on celestial and astronomical phenomena.
Related occupations",80,[],[],[]
Astronomers,"Develop theories based on personal observations or on observations and theories of other astronomers.
Related occupations",77,[],[],[]
Astronomers,"Measure radio, infrared, gamma, and x-ray emissions from extraterrestrial sources.
Related occupations",74,[],[],[]
Astronomers,"Serve on professional panels and committees.
Related occupations",58,[],[],[]
Astronomers,"Conduct question-and-answer presentations on astronomy topics with public audiences.
Related occupations",56,[],[],[]
Athletes and Sports Competitors,"Participate in athletic events or competitive sports, according to established rules and regulations.
Related occupations",75,[],[],[]
Athletes and Sports Competitors,"Lead teams by serving as captain.
Related occupations",61,[],[],[]
Athletic Trainers,"Travel with athletic teams to be available at sporting events.
Related occupations",78,[],[],[]
