Verb,Noun
perform,plan
object,identification
train,controller
have,system
combine,content
produce,video
classify,material
generate,interface
summarize,activity
use,learning
predict,probability
facilitate,development
use,network
drive,method
perform,prediction
use,indication
cluster,analysis
prune,network
use,datum
log,analysis
predict,failure
utilize,processing
simulate,movement
learn,detector
use,datum
mitigate,divergence
support,appliance
feed,animal
use,datum
use,system
find,cause
create,recommendation
create,content
use,learning
use,array
scale,precision
scale,tensor
train,network
use,ledger
determine,fault
manage,condition
optimize,resource
use,datum
use,intelligence
monitor,user
monitor,attentiveness
optimize,system
manage,dialogue
use,model
use,pharmaceutical
combine,set
enable,sharing
use,network
identify,damage
use,representation
estimate,channel
use,protocol
determine,purchase
use,function
acquire,application
predict,behavior
use,model
use,datum
use,resource
measure,coverage
record,advice
use,learning
use,array
label,instance
use,network
use,intelligence
dispatch,graph
use,computing
use,twin
have,function
perform,management
track,location
identify,change
analyze,infiltration
predict,outcome
merge,network
train,classification
recognize,behavior
manage,resource
combine,information
enhance,function
determine,time
enhance,network
train,network
use,update
determine,clock
check,abnormality
generate,response
guide,continuance
select,cohort
learn,imaging
control,operation
perform,reconciliation
use,cluster
use,network
adjust,collection
provide,datum
meet,need
position,mandible
learn,system
learn,method
manage,conversation
use,inference
use,intelligence
process,query
use,processing
monitor,training
handle,system
relocate,vessel
implement,interface
implement,platform
facilitate,rehabilitation
process,datum
select,content
use,datum
predict,transaction
use,technique
support,analysis
predict,profile
pump,method
synthesize,datum
train,network
message,control
track,motion
use,measurement
alternate,optimization
learn,tree
evaluate,model
use,datum
detect,anomaly
process,image
base,analysis
use,landmark
train,model
use,shard
utilize,recognition
use,network
combine,datum
generate,recommendation
pose,estimation
detect,behavior
adapt,datum
estimate,property
use,datum
train,model
use,adaptation
trigger,action
use,source
use,resource
detect,error
determine,level
drive,route
predict,feature
assign,patient
control,device
use,intelligence
define,intersection
recommend,method
message,apparatus
manage,model
use,image
reduce,bias
generate,model
monitor,network
conduct,trial
configure,system
calculate,probability
evaluate,consumption
analyze,datum
model,system
use,network
use,intelligence
present,interface
represent,progress
evaluate,disease
enhance,wellness
provide,state
enhance,control
use,vision
estimate,characteristic
group,pattern
determine,behavior
drive,method
generate,datum
animate,avatar
manage,plurality
learn,explanation
monitor,transmission
deploy,topology
base,detection
monitor,state
optimize,allocation
predict,risk
detect,backdoor
use,gradient
determine,allocation
parse,system
parse,language
detect,volume
build,system
use,datum
share,datum
guide,positioning
use,sensor
determine,speed
detect,domain
evaluate,condition
provide,control
use,model
predict,image
generate,recommendation
generate,model
scan,system
generate,description
modify,scope
utilize,cloud
create,model
operate,robot
improve,robustness
anticipate,video
determine,language
build,renovation
generate,encoding
train,network
use,learning
monitor,aspect
tune,layer
transmit,sequence
use,mapping
collect,information
use,computing
monitor,system
evaluate,selection
optimize,control
use,network
provide,datum
configure,device
use,intelligence
face,perception
adjust,software
use,programming
estimate,capacity
manage,setting
segment,image
protect,model
share,logic
predict,error
synchronize,system
generate,content
operate,system
determine,clock
light,determination
remove,artifact
predict,time
use,datum
quantize,network
apply,model
modify,campaign
trigger,condition
detect,condition
use,log
determine,age
improve,robustness
estimate,time
provide,generation
use,datum
determine,space
generate,recommendation
generate,insight
use,model
learn,motion
deploy,policy
detect,threat
use,intelligence
adjust,resistance
detect,event
personalize,technology
reduce,disparity
decode,method
encode,apparatus
decode,apparatus
decode,apparatus
process,image
predict,lesion
generate,segment
build,system
determine,motion
position,method
define,area
predict,risk
use,weight
populate,report
prompt,decision
use,intelligence
moderate,content
operate,system
test,robustness
learn,system
identify,vehicle
process,image
generate,content
encourage,compliance
use,intelligence
optimize,routine
enable,compliance
process,image
use,intelligence
monitor,characteristic
enhance,diagnosis
compromise,accuracy
interpret,anomaly
provide,recommendation
provide,condition
optimize,process
enable,compliance
transfer,method
prepare,product
construct,model
object,creation
use,evolution
query,graph
use,language
switch,diversity
provide,datum
position,detection
use,information
analyze,document
defect,system
set,label
use,system
quantify,vulnerability
select,framework
predict,epitope
characterize,cell
mark,system
detect,fever
balance,relevance
generate,term
guide,placement
use,network
classify,image
use,intelligence
select,element
infer,importance
message,application
generate,document
contain,link
use,machine
perform,plan
generate,plan
stimulate,angiogenesis
implement,system
surround,system
determine,dependency
detect,location
utilize,cloud
present,model
use,network
accelerate,intersection
secure,device
generate,recommendation
perform,detection
use,network
encourage,compliance
monitor,environment
provide,configuration
reflect,preference
predict,metastasis
provide,survey
generate,question
tag,topic
detect,attack
use,counter
position,device
position,method
provide,estimate
use,engine
optimize,compliance
use,model
identify,tone
use,sensor
optimize,plan
use,datum
detect,misalignment
use,device
perform,plan
use,engine
optimize,plan
provide,advisor
identify,feature
calculate,likelihood
use,datum
identify,condition
use,device
perform,plan
generate,distribution
optimize,performance
identify,device
identify,event
set,feature
optimize,outcome
use,intelligence
adjust,resistance
generate,representation
diagnose,problem
use,classifier
include,suggestion
identify,gesture
determine,content
generate,priority
categorize,incident
use,intelligence
assign,patient
control,apparatus
share,datum
process,cell
object,system
diagnose,task
use,network
monitor,progress
use,datum
monitor,progress
use,datum
use,visualization
analyze,health
generate,record
learn,system
move,detection
use,imagery
secure,platform
use,network
measure,metric
generate,solution
use,datum
detect,condition
predict,power
use,network
integrate,communication
generate,asset
adjust,brightness
use,network
generate,model
determine,accuracy
wear,system
deploy,system
use,architecture
access,memory
process,datum
modify,structure
improve,retrieval
prompt,decision
enhance,network
use,tree
establish,model
generate,notification
set,value
premise,system
learn,method
generate,datum
automate,process
learn,model
assess,development
execute,application
create,sequence
solve,method
optimize,tag
use,avatar
determine,pattern
apply,scheme
target,object
generate,model
predict,error
attribute,reason
profile,area
implement,application
generate,representation
augment,thread
use,function
predict,life
recognize,flux
use,machine
differentiate,sub
differentiate,population
extend,coherency
execute,instruction
detect,attack
route,optimization
unload,method
predict,output
detect,page
violate,policy
design,application
predict,failure
post,system
provide,healthcare
enable,detection
influence,behavior
enhance,network
use,pair
add,understanding
monitor,status
select,resource
predict,presentation
detect,attack
use,signal
control,vehicle
predict,system
predict,trajectory
surround,vehicle
process,image
evaluate,image
use,manufacturing
manage,information
distribute,ledger
predict,response
predict,failure
process,package
assist,surgeon
produce,device
provide,retraining
waste,method
use,engine
enforce,compliance
control,apparatus
display,information
recognize,combination
learn,analysis
generate,model
extract,result
use,learning
prioritize,prediction
identify,plan
use,network
predict,event
resolve,entity
provide,system
predict,failure
use,datum
use,device
generate,association
generate,variant
manage,model
develop,solution
leverage,learning
display,information
determine,parameter
describe,motion
employ,generation
generate,request
use,intelligence
generate,set
detect,location
use,reward
use,datum
construct,image
use,model
set,device
utilize,information
identify,patient
forecast,outcome
assign,label
search,video
provide,testing
merge,processing
extract,sentence
generate,video
indicate,region
customize,suggestion
use,information
identify,corrosion
facilitate,interaction
use,feedback
construct,network
detect,infection
cough,sound
use,graph
learn,technique
predict,change
obtain,uncertainty
optimize,intelligence
provide,recommendation
generate,summary
analyze,item
use,recognition
scan,technology
integrate,knowledge
apply,model
predict,value
use,datum
use,mask
implement,tool
use,network
use,spectrometry
create,experience
update,policy
generate,plan
enhance,recovery
follow,therapy
use,tomography
derive,feature
use,parameter
use,bed
learn,modification
manage,question
improve,quality
use,feedback
modify,stream
use,intelligence
present,recommendation
leverage,principal
perform,analysis
forecast,mechanism
train,model
detect,object
pose,estimation
allocate,resource
align,implant
generate,instruction
deliver,item
process,datum
learn,technique
discover,behavior
form,field
identify,anomaly
leverage,inference
manage,datum
enable,room
terminate,connection
allow,search
generate,device
crowd,device
utilize,image
model,object
stop,augmentation
dress,method
dress,apparatus
drive,program
provide,reality
predict,type
determine,block
enrich,tool
learn,model
analyze,anomaly
use,sensor
treat,patient
use,datum
recommend,measurement
manage,use
use,pattern
chat,assistance
use,model
reduce,dependency
gate,model
control,vehicle
utilize,correlation
improve,detection
augment,procedure
provide,suggestion
learn,technique
process,noise
predict,fault
calibrate,plurality
determine,parameter
drive,method
improve,performance
identify,activity
drive,scenario
shop,monitoring
use,vision
use,classifier
provide,feedback
set,encryption
preserve,learning
mitigate,interference
generate,datum
call,analysis
identify,activity
protect,content
organize,topology
use,system
use,analysis
mitigate,attack
coordinate,response
carry,system
use,method
estimate,serviceability
use,network
use,machine
use,kernel
recommend,meal
convert,text
interpret,content
use,network
use,processing
determine,information
generate,image
provide,security
utilize,container
defect,device
defect,system
classify,defect
construct,set
utilize,network
predict,recurrence
adapt,response
understand,relationship
use,emulation
provide,dialogue
monitor,device
monitor,method
learn,device
learn,method
predict,performance
use,learning
predict,location
use,network
use,network
detect,object
implement,classification
predict,sensitivity
defend,system
use,device
use,search
correlate,type
generate,frame
use,localization
apply,technique
train,network
store,datum
implement,classification
locate,cause
have,topology
distribute,security
enhance,accuracy
defect,method
use,window
set,indexing
facilitate,analysis
compute,vector
provide,management
use,cycle
analyze,datum
analyze,network
use,learning
monitor,quality
predict,failure
track,health
associate,text
polish,device
use,learning
prevent,fraud
use,model
use,internet
validate,claim
analyze,image
use,technique
inspect,apparatus
determine,type
justify,machine
learn,system
recognize,object
learn,task
use,network
use,datum
verify,identity
detect,fault
use,signal
gaze,system
follow,method
generate,character
edge,system
distribute,store
optimize,estimation
duel,network
monitor,loading
provide,biofeedback
use,plurality
move,node
prioritize,monitoring
determine,threat
drive,risk
drive,modeling
extract,information
object,recognition
use,modality
provide,identification
use,classification
train,system
use,network
provide,intervention
use,system
determine,method
determine,type
alter,behavior
describe,recommendation
distinguish,event
generate,annotation
train,model
encrypt,method
examine,system
use,state
cool,cabinet
dispatch,method
forecast,state
object,content
push,method
use,information
use,network
manage,resource
cleanse,datum
use,datum
trigger,transaction
use,architecture
build,system
detect,disease
use,analysis
track,health
generate,text
have,style
detect,region
train,model
use,knowledge
protect,system
use,gradient
match,item
augment,modeling
mitigate,injury
integrate,datum
mirror,datum
survive,failure
pose,estimation
obtain,characteristic
use,recovery
mine,client
use,datum
scale,method
die,scheduler
message,system
learn,colony
route,method
control,component
evaluate,dimension
control,device
select,campaign
have,strategy
use,accelerator
utilize,framework
report,measurement
adjust,method
estimate,device
identify,behavior
evaluate,performance
avoid,contact
support,maintenance
orient,method
capture,image
annotate,image
perform,search
perform,classification
use,training
store,datum
determine,image
detect,vehicle
determine,structure
improve,outcome
predict,outcome
use,input
drive,method
configure,system
clone,copy
perform,procedure
improve,quality
use,technique
automate,editing
facilitate,identification
train,network
identify,characteristic
reconstruct,image
use,learning
purify,input
debug,model
provide,encryption
use,intelligence
predict,performance
detect,change
determine,score
require,knowledge
assign,user
face,method
use,learning
safeguard,control
distinguish,event
drown,detection
use,counter
troubleshoot,network
use,statistic
rupture,method
tailor,application
determine,value
object,tracking
use,orchestration
learn,representation
predict,outcome
use,model
process,datum
generate,information
detect,failure
utilize,cognition
feature,system
restrict,activity
use,network
enable,control
determine,intention
perform,operation
classify,type
use,technique
secure,network
determine,characteristic
use,ratio
detect,hijacking
label,model
use,reality
learn,method
deliver,point
analyze,image
learn,segmentation
present,decision
base,driving
extract,information
recommend,plan
detect,disease
deliver,point
provide,guidance
learn,classifier
process,datum
monitor,risk
use,device
define,security
control,delivery
sample,datum
stratify,patient
implement,environment
provide,detection
predict,value
predict,genotype
use,detection
monitor,health
learn,prediction
deliver,point
evaluate,performance
edge,method
control,operation
provide,aggregation
improve,outcome
diagnose,fibrosis
use,learning
learn,system
improve,capability
reverse,vehicle
predict,rate
deploy,bundle
generate,image
use,network
convert,dose
control,train
prevent,fraud
use,measurement
utilize,network
enhance,resolution
build,system
perform,management
optimize,transfer
determine,content
meet,audio
include,cost
interpret,code
use,network
predict,rating
utilize,datum
maintain,relationship
provide,engine
improve,diversity
generate,item
have,accelerator
classify,object
deploy,model
enable,network
learn,method
perform,analysis
predict,peptide
use,feature
detect,issue
quantify,risk
solve,problem
restore,image
search,method
construct,twin
combine,model
learn,technique
apply,effect
optimize,query
use,image
generate,cloud
enhance,resolution
track,device
track,body
locate,actor
image,eye
provide,privacy
manage,mapping
spike,network
train,model
predict,characteristic
use,analysis
use,network
detect,event
use,datum
predict,status
use,measurement
use,processing
scale,platform
perform,analysis
assign,damage
leverage,sample
generate,question
optimize,access
provide,feedback
optimize,detection
have,table
provide,access
use,device
estimate,age
separate,speech
detect,gesture
predict,system
filter,content
implement,communication
manage,traffic
tag,image
train,model
train,model
spike,network
use,classifier
use,measurement
learn,system
use,search
use,information
image,apparatus
trigger,robot
emulate,computation
extend,datum
use,replacement
migrate,workload
provide,intelligence
use,table
improve,translation
defect,determination
use,model
predict,attribute
use,learning
recover,datum
cause,analysis
learn,method
learn,system
make,use
learn,generation
use,reality
learn,platform
use,topology
manage,datum
complete,task
integrate,model
provide,content
learn,efficiency
identify,task
identify,text
utilize,topic
learn,generation
use,technique
establish,model
predict,hazard
use,prediction
analyze,response
analyze,threat
improve,intelligence
use,camera
verify,machine
use,environment
detect,variant
mount,system
collect,expression
tune,parameter
have,size
predict,information
perform,method
compute,strategy
control,operation
navigate,path
learn,computing
detect,activity
use,learning
leverage,system
consolidate,set
use,reality
detect,file
use,pattern
control,state
utilize,intelligence
test,application
use,technique
monitor,health
answer,question
use,patient
use,datum
update,record
recognize,voice
detect,fraud
learn,framework
screen,generation
use,quantum
use,machine
identify,characteristic
predict,interaction
annotate,image
consider,obstacle
use,intelligence
determine,pattern
pattern,process
select,node
project,rating
convert,dose
dose,image
provide,datum
reduce,churn
generate,model
monitor,process
manufacture,device
manage,communication
detect,trend
use,network
extract,information
analyze,sample
adjust,screen
use,network
increase,speed
learn,computation
touch,classification
process,datum
use,datum
supply,power
assess,score
predict,value
score,food
use,network
link,document
use,citation
have,maintenance
detect,defect
monitor,light
train,model
use,example
generate,plan
use,model
select,state
power,assistant
base,system
object,method
transfer,expression
implement,analysis
utilize,algorithm
use,datum
determine,alert
construct,tree
use,graph
use,tracking
detect,identity
modify,restriction
detect,blocking
detect,fault
process,code
optimize,video
generate,datum
train,network
train,network
use,network
refuse,analysis
manage,drive
use,rule
use,architecture
classify,locator
assess,gait
use,image
base,asset
use,intelligence
learn,preference
use,representation
use,intelligence
classify,message
record,event
feature,model
determine,position
use,angle
predict,performance
predict,status
protect,payload
reside,adversary
deliver,platform
generate,design
use,machine
use,automation
provide,recommendation
place,sensor
drive,text
call,system
reduce,latency
utilize,network
measure,contribution
use,datum
predict,response
use,segmentation
monitor,space
monitor,space
monitor,space
optimize,network
generate,datum
describe,image
perform,management
cool,optimization
control,camera
use,signal
personalize,recommendation
use,value
utilize,device
manage,inventory
learn,completion
analyze,imagery
optimize,management
distribute,architecture
adjust,parameter
replicate,system
unload,method
create,database
recognize,gesture
boost,performance
determine,response
prepare,image
prepare,image
provide,insight
identify,gesture
utilize,technique
catalog,information
generate,prediction
communicate,configuration
perform,load
balance,adjustment
transition,interaction
chat,session
improve,control
use,network
use,model
predict,pattern
use,spectrum
use,index
learn,device
learn,method
predict,result
position,processing
detect,transaction
group,device
use,network
use,model
develop,content
classify,motion
share,experience
learn,task
use,network
provide,recognition
use,analysis
use,network
estimate,deficiency
generate,representation
detect,application
use,datum
expand,query
rank,result
achieve,goal
use,combination
detect,event
assist,therapy
predict,path
use,network
determine,device
use,locator
use,function
manage,flexibility
generate,design
use,network
combine,model
route,guidance
log,analysis
represent,system
facilitate,processing
train,system
